n,t,x,y,z,m
0,0,0.1576085,0.7757075,0.1526679,18
0,0.0151062,0.1588158,0.7853756,0.1558318,18
0,0.02903748,0.1588495,0.7970711,0.1597218,18
0,0.0425415,0.1590595,0.8061895,0.1628168,18
0,0.05607605,0.1593661,0.8136325,0.1653856,18
0,0.0703125,0.158826,0.8221599,0.1683188,18
0,0.08415985,0.1584087,0.829479,0.1708641,18
0,0.09780121,0.1581228,0.8361282,0.1731491,18
0,0.1115189,0.1581554,0.841774,0.1770632,18
0,0.125206,0.1581756,0.8474888,0.1803692,18
0,0.1396332,0.1587094,0.8472819,0.1887788,18
0,0.1574249,0.1590644,0.8496891,0.1952941,18
0,0.1668854,0.1593653,0.8531461,0.2007115,18
0,0.1806259,0.1593032,0.8522913,0.2122554,18
0,0.195137,0.1595429,0.8537701,0.2212357,18
0,0.2086868,0.1598083,0.8561701,0.2286225,18
0,0.2220535,0.1575972,0.8539916,0.2417296,18
0,0.2363205,0.1548925,0.8474538,0.2565883,18
0,0.2524796,0.1528072,0.8436968,0.2680659,18
0,0.2642593,0.1510593,0.8414055,0.2776294,18
0,0.2775192,0.1493824,0.8342438,0.2893198,18
0,0.2920151,0.1480198,0.8296784,0.2992907,18
0,0.3072739,0.1478716,0.8240892,0.3062592,18
0,0.3206024,0.1474901,0.8201162,0.3133507,18
0,0.333374,0.1497412,0.8150541,0.3224104,18
0,0.3475723,0.1510033,0.8111602,0.3311145,18
0,0.36129,0.151774,0.8079266,0.3395905,18
0,0.374855,0.152312,0.8050635,0.3479154,18
0,0.3889313,0.1559466,0.7990265,0.3560176,18
0,0.4029312,0.1589265,0.794782,0.361514,18
0,0.4169693,0.1609479,0.7909608,0.3677431,18
0,0.4305801,0.1625577,0.7873982,0.3744503,18
0,0.4441833,0.1632594,0.7832063,0.3764262,18
0,0.4587784,0.1643968,0.7810558,0.3775258,18
0,0.4724731,0.1649975,0.7783982,0.3797239,18
0,0.4863739,0.1654413,0.775625,0.3828138,18
0,0.5001068,0.1660964,0.7750009,0.3859908,18
0,0.5144119,0.1664804,0.7732904,0.3897194,18
0,0.5283432,0.1668371,0.7711503,0.3939248,18
0,0.5417709,0.1672399,0.7688277,0.3984685,18
0,0.5560226,0.1676444,0.7683938,0.4018564,18
0,0.5702209,0.1684535,0.7673957,0.4037412,18
0,0.5836411,0.1693311,0.765789,0.406084,18
0,0.5975494,0.1702616,0.7660431,0.4074658,18
0,0.6114426,0.1712183,0.765608,0.4092281,18
0,0.6256485,0.1722236,0.7664114,0.41047,18
0,0.6394348,0.1732541,0.7666454,0.4120074,18
0,0.6534805,0.1743054,0.7665689,0.4138578,18
0,0.6677094,0.174438,0.7677603,0.4154998,18
0,0.6814499,0.1748279,0.7684667,0.4173463,18
0,0.6953812,0.1753658,0.7688862,0.4193927,18
0,0.7090912,0.1760008,0.7691124,0.4216061,18
0,0.7226486,0.1762676,0.7694542,0.4232221,18
0,0.7372971,0.1760004,0.7698299,0.4241208,18
0,0.750473,0.1759394,0.7700996,0.4251674,18
0,0.7644119,0.1759701,0.7703187,0.4263614,18
0,0.7783737,0.1753021,0.770601,0.4272847,18
0,0.7925491,0.174822,0.7709118,0.428038,18
0,0.8061829,0.1744432,0.7711955,0.428908,18
0,0.8194962,0.1741784,0.7714736,0.4298986,18
0,0.8336411,0.1743302,0.7716057,0.431205,18
0,0.848175,0.1745019,0.7718168,0.4326616,18
0,0.8610077,0.174683,0.7720615,0.4342181,18
0,0.8750534,0.1743915,0.7727836,0.4357562,18
0,0.8888702,0.1741894,0.7734261,0.4373178,18
0,0.9032669,0.1734325,0.7743434,0.4380003,18
0,0.9168167,0.1727764,0.7751269,0.4387212,18
0,0.9304886,0.172188,0.7758272,0.4394861,18
0,0.9444275,0.1714963,0.7757877,0.4401131,18
0,0.9590225,0.1714511,0.7754883,0.4407127,18
0,0.972847,0.1713722,0.7752054,0.4413545,18
0,0.9861145,0.1712723,0.7749271,0.4420541,18
0,0.999855,0.1713486,0.7743097,0.4423053,18
0,1.014305,0.1714223,0.7736959,0.4425968,18
0,1.028191,0.171497,0.7730647,0.4429338,18
0,1.041504,0.171574,0.7724165,0.4433146,18
0,1.055481,0.1720476,0.7713708,0.4439345,18
0,1.070107,0.1723944,0.7696115,0.4445346,18
0,1.083405,0.172738,0.7678546,0.4451683,18
