n,t,x,y,z,m
25,0,0.1524731,0.7689927,0.22346,17
25,0.01483154,0.1525567,0.7716838,0.2267888,17
25,0.0284729,0.1525401,0.7747085,0.2323492,17
25,0.04238892,0.152538,0.7773366,0.237059,17
25,0.05627441,0.1525597,0.7796334,0.2410909,17
25,0.07000732,0.1534727,0.781014,0.2480027,17
25,0.0838623,0.1541695,0.7825619,0.2538376,17
25,0.09771729,0.1548606,0.7840328,0.2607799,17
25,0.1113586,0.1553777,0.7855571,0.2667285,17
25,0.1299744,0.1557904,0.7870986,0.2720022,17
25,0.1387024,0.1548831,0.7887214,0.2756971,17
25,0.152832,0.1542516,0.7902485,0.2794422,17
25,0.1673584,0.1519405,0.7930293,0.2813782,17
25,0.1806946,0.150023,0.7955498,0.2837878,17
25,0.1947632,0.1485248,0.7969915,0.286232,17
25,0.2086792,0.147196,0.7985538,0.2889549,17
25,0.2220764,0.1456655,0.8005988,0.2914573,17
25,0.2365723,0.14427,0.802691,0.2941809,17
25,0.2500916,0.1429644,0.8047959,0.2970902,17
25,0.263855,0.1419891,0.8065886,0.2995997,17
25,0.2783508,0.1409996,0.8084862,0.3022798,17
25,0.2919922,0.1399953,0.8104779,0.3051042,17
25,0.3094788,0.1393177,0.8112852,0.3071468,17
25,0.3195496,0.1385935,0.8123413,0.3093727,17
25,0.3352356,0.1381391,0.812902,0.3117889,17
25,0.3490295,0.1375945,0.8136851,0.3143327,17
25,0.3627319,0.1374447,0.8141545,0.3167739,17
25,0.3763123,0.1371939,0.8147609,0.3192951,17
25,0.3900146,0.1364844,0.8148887,0.3210458,17
25,0.4036865,0.1357887,0.8151279,0.322927,17
25,0.4171753,0.1350944,0.8153811,0.3249216,17
25,0.4311523,0.1344177,0.81572,0.3263918,17
25,0.4447937,0.1337497,0.8161092,0.3280002,17
25,0.4581909,0.1335341,0.8163466,0.3298756,17
25,0.4726257,0.1332846,0.8166604,0.331858,17
25,0.4862976,0.1330076,0.817041,0.3339214,17
25,0.4997559,0.1343671,0.8172226,0.3378094,17
25,0.5140381,0.1354488,0.8175595,0.3415556,17
25,0.5278625,0.1362621,0.8180213,0.3450824,17
25,0.5412598,0.1382272,0.8189219,0.3503781,17
25,0.5558777,0.1397246,0.8198184,0.3551512,17
25,0.5697632,0.1414201,0.8201456,0.360753,17
25,0.5830078,0.142202,0.8206608,0.3650797,17
25,0.5975647,0.142914,0.8210957,0.3690333,17
25,0.611084,0.1435934,0.8214312,0.3727345,17
25,0.6248779,0.1438234,0.8217757,0.3752469,17
25,0.6385498,0.1441547,0.8219681,0.3778265,17
25,0.6524963,0.1445499,0.8221052,0.3804946,17
25,0.666626,0.1443041,0.8226131,0.3813115,17
25,0.6806335,0.1442271,0.8230246,0.382455,17
25,0.694458,0.1444438,0.8226762,0.3833149,17
25,0.7082214,0.1444438,0.8226762,0.3833149,17
25,0.7223206,0.1450052,0.8222049,0.3857655,17
25,0.7362366,0.1453261,0.8220907,0.387318,17
25,0.7499084,0.1466603,0.8211968,0.3899454,17
25,0.7640381,0.1495178,0.8204877,0.3947062,17
25,0.7781067,0.1519279,0.8200839,0.3993103,17
25,0.7919312,0.1551947,0.8193513,0.4068798,17
25,0.8061523,0.1578135,0.8191745,0.4134997,17
25,0.8192749,0.1599618,0.8193148,0.4192286,17
25,0.8331299,0.161995,0.8190842,0.4295229,17
25,0.8474426,0.1638389,0.8189939,0.4379421,17
25,0.8609314,0.1655198,0.8189712,0.4450177,17
25,0.8752747,0.1687363,0.8170684,0.4555987,17
25,0.8898926,0.1713567,0.8157171,0.4642975,17
25,0.9026184,0.1747639,0.8118888,0.4762922,17
25,0.9165955,0.1775029,0.8092047,0.4860349,17
