n,t,x,y,z,m
24,0,0.1786135,0.7726623,0.2336856,4
24,0.01425171,0.1900144,0.781054,0.2452425,4
24,0.02798462,0.2057022,0.7873486,0.2657706,4
24,0.04212189,0.215326,0.7910751,0.2791155,4
24,0.05594635,0.2220686,0.7936261,0.2890334,4
24,0.06977844,0.2398904,0.7822717,0.316792,4
24,0.08366394,0.2537327,0.7798016,0.3332809,4
24,0.09757996,0.2654603,0.7793553,0.3499859,4
24,0.1117477,0.2750929,0.7800802,0.362443,4
24,0.1248093,0.2766346,0.7825717,0.374001,4
24,0.1385345,0.2797229,0.7824073,0.3857266,4
24,0.1532059,0.2786829,0.7850081,0.3889365,4
24,0.1666946,0.2803698,0.7864134,0.394962,4
24,0.1803894,0.2834602,0.7873498,0.4025319,4
24,0.1942749,0.287297,0.7855294,0.4064907,4
24,0.208374,0.2912561,0.7842591,0.4121007,4
24,0.2218475,0.2951912,0.7833892,0.4189548,4
24,0.2360077,0.2989929,0.78294,0.420998,4
24,0.2500305,0.3028671,0.7827715,0.4246377,4
24,0.2639847,0.3069548,0.7782704,0.4305322,4
24,0.2774887,0.3113893,0.7750903,0.4368977,4
24,0.2915192,0.3160535,0.7728568,0.4436277,4
24,0.3058395,0.3188729,0.7653285,0.4508027,4
