n,t,x,y,z,m
11,0,0.09480643,0.7703437,0.1969795,13
11,0.01435852,0.09477377,0.7711264,0.1973707,13
11,0.03032684,0.09489268,0.7717732,0.1978998,13
11,0.04533386,0.09502792,0.7724606,0.1984555,13
11,0.06072235,0.09497052,0.7736542,0.1994266,13
11,0.06906128,0.09486264,0.7749117,0.2004167,13
11,0.08409882,0.09472281,0.7761762,0.2013905,13
11,0.09804535,0.09371346,0.778802,0.2032496,13
11,0.1119537,0.09272516,0.7813179,0.2051349,13
11,0.1258011,0.09178478,0.7838825,0.2073299,13
11,0.1387939,0.09094477,0.7861817,0.2093543,13
11,0.1525879,0.09020674,0.7882711,0.2112169,13
11,0.1670837,0.09000874,0.7899169,0.2122985,13
11,0.1804886,0.08981812,0.7914298,0.2133372,13
11,0.1949615,0.08898044,0.7937378,0.2137162,13
11,0.2080994,0.08824122,0.795899,0.2142165,13
11,0.2215195,0.08732444,0.7979344,0.2147075,13
11,0.236908,0.0864715,0.7999581,0.2152816,13
11,0.2498779,0.08565903,0.8019706,0.2159031,13
11,0.2635956,0.08460957,0.8039277,0.2165845,13
11,0.2771835,0.08360636,0.8059078,0.2172869,13
11,0.2914352,0.08272988,0.8085164,0.2187888,13
11,0.3049393,0.08184868,0.8111467,0.2202492,13
11,0.3184204,0.08098763,0.8137472,0.221651,13
11,0.3332672,0.08074433,0.8148,0.2233695,13
11,0.3468628,0.08043998,0.8159924,0.224921,13
11,0.3608093,0.08070105,0.8173044,0.2275766,13
11,0.3746414,0.08079112,0.8187265,0.2300431,13
11,0.3884277,0.08107883,0.8203063,0.2327083,13
11,0.4021988,0.08122522,0.821876,0.2351945,13
11,0.4160461,0.08127624,0.8234414,0.2375353,13
11,0.4304886,0.08201057,0.826382,0.2402801,13
11,0.445282,0.08254999,0.8290541,0.242831,13
11,0.4581528,0.0820604,0.8336061,0.2452421,13
11,0.4717636,0.08152843,0.8375055,0.247549,13
11,0.485672,0.08098763,0.8409227,0.2497442,13
11,0.4994888,0.08014762,0.844128,0.252037,13
11,0.5136566,0.07942015,0.8471653,0.2542584,13
11,0.5280838,0.07819963,0.8500607,0.2573256,13
11,0.5411606,0.0770762,0.8528573,0.2601056,13
11,0.5552597,0.07537198,0.8547779,0.2639918,13
11,0.5691147,0.07393628,0.8568505,0.2675209,13
11,0.5832214,0.07269502,0.8589581,0.270758,13
11,0.5970383,0.07223755,0.8590383,0.2753034,13
11,0.6110153,0.07180738,0.8595667,0.2794515,13
11,0.6251221,0.07179618,0.8587406,0.2833878,13
11,0.6389236,0.07171816,0.8584609,0.2871171,13
11,0.6538696,0.07158113,0.8585394,0.290727,13
11,0.6670074,0.07269305,0.8565776,0.294399,13
11,0.680336,0.07347393,0.8552183,0.297928,13
11,0.6949692,0.07490999,0.8529145,0.3024282,13
11,0.708252,0.07592243,0.851104,0.3066639,13
11,0.721611,0.07608658,0.8496239,0.3114829,13
11,0.736084,0.0762527,0.8484205,0.3161462,13
11,0.7496033,0.07643795,0.8474507,0.3206259,13
11,0.7639084,0.07609141,0.845848,0.3247333,13
11,0.7775879,0.07594126,0.8445759,0.3288442,13
11,0.791954,0.07465559,0.843339,0.3313338,13
11,0.8053818,0.07378501,0.8423153,0.3341412,13
11,0.8190765,0.07314378,0.84142,0.3371588,13
11,0.8339005,0.07192111,0.8442646,0.3378834,13
11,0.8471451,0.07100737,0.8462025,0.339151,13
11,0.8622665,0.06993979,0.8460339,0.3412465,13
11,0.8749466,0.06901222,0.8457282,0.3436609,13
11,0.8886719,0.06771612,0.8461518,0.3457536,13
11,0.9027786,0.06656259,0.8463266,0.3480595,13
11,0.9166412,0.06550211,0.8463487,0.3504902,13
11,0.932373,0.06528366,0.8440986,0.3536953,13
11,0.9459076,0.06495541,0.8422757,0.3568183,13
11,0.9591217,0.06576669,0.8383927,0.3613258,13
11,0.973259,0.06627256,0.8351957,0.3654794,13
11,0.9867172,0.06663734,0.832402,0.3694174,13
11,1.000702,0.06841254,0.8301353,0.3744784,13
11,1.014442,0.06996542,0.8280715,0.3792449,13
11,1.028625,0.07333893,0.8252405,0.3846021,13
11,1.041847,0.07601213,0.8228632,0.3894459,13
11,1.055977,0.07822877,0.8225382,0.3925969,13
11,1.071098,0.08009088,0.8220292,0.3957162,13
11,1.08358,0.0817588,0.8213933,0.3988804,13
11,1.097046,0.0844698,0.8187071,0.4029547,13
11,1.110794,0.0867123,0.8166254,0.4067299,13
11,1.12458,0.08923572,0.814237,0.4103486,13
11,1.138329,0.09132999,0.8122396,0.4137394,13
11,1.152412,0.0932008,0.8104116,0.4170558,13
11,1.166824,0.09573597,0.8073218,0.4202763,13
11,1.180168,0.09789562,0.8045621,0.4233733,13
11,1.194145,0.09981763,0.8027216,0.426179,13
11,1.207878,0.1015059,0.8008055,0.4289382,13
11,1.221397,0.1030936,0.7996961,0.4313102,13
11,1.235634,0.1045559,0.7982645,0.4337534,13
11,1.249451,0.1053107,0.7963915,0.4361981,13
11,1.26355,0.1063721,0.7944969,0.4388013,13
11,1.277847,0.1076096,0.79265,0.441478,13
11,1.290741,0.1080963,0.7903837,0.4441132,13
11,1.304573,0.1090788,0.7883626,0.4468623,13
11,1.317978,0.1102796,0.7864842,0.4496241,13
11,1.332077,0.1107783,0.7837139,0.4521661,13
11,1.346016,0.1117999,0.7814772,0.4547205,13
11,1.359528,0.1122295,0.7791401,0.4566955,13
11,1.373329,0.1131174,0.7772826,0.4587021,13
11,1.387169,0.1133799,0.7771692,0.4599781,13
11,1.401245,0.1140058,0.7765605,0.4614322,13
11,1.418373,0.114775,0.7756693,0.4630063,13
11,1.429512,0.1158209,0.7740272,0.4650551,13
11,1.442047,0.1168512,0.7724956,0.4671367,13
11,1.455414,0.1180596,0.7707744,0.4685946,13
11,1.470009,0.1191853,0.7692539,0.4700189,13
11,1.484818,0.1202789,0.767804,0.4714554,13
11,1.496971,0.1213849,0.7668006,0.4726328,13
11,1.511238,0.1225271,0.7657911,0.47385,13
11,1.524521,0.1234164,0.7656566,0.4750415,13
11,1.538269,0.1243984,0.7652128,0.4763243,13
11,1.552223,0.1250764,0.7647461,0.4777555,13
11,1.566589,0.1258956,0.764095,0.4792693,13
