N,T1,T2,T3,T4,LR,M,E
0,1,0,0,0,L,A,0
1,0,1,0,0,R,A,2
2,0,0,0,1,R,C,0
3,0,1,0,0,R,A,0
4,0,0,1,0,L,C,0
5,0,0,1,0,R,B,2
6,0,0,0,1,R,C,2
7,0,0,0,1,R,C,0
8,0,0,0,1,R,C,2
9,0,0,1,0,R,B,2
10,0,0,1,0,R,B,0
11,0,1,0,0,R,A,2
12,0,0,0,1,R,C,2
13,0,0,1,0,R,B,0
14,0,0,1,0,R,B,0
15,0,0,1,0,R,B,0
16,0,1,0,0,R,A,2
17,0,1,0,0,L,B,0
18,0,1,0,0,L,B,2
19,0,1,0,0,R,A,0
20,0,0,0,1,R,C,2
21,0,0,1,0,R,B,2
22,0,0,0,1,R,C,0
23,0,1,0,0,R,A,2
24,0,1,0,0,R,A,0
25,0,1,0,0,R,A,2
26,0,0,0,1,R,C,2
27,1,0,0,0,L,A,0
28,0,0,1,0,R,B,2
29,0,0,1,0,L,C,0
