n,t,x,y,z,m
10,0,0.1018233,0.7718062,0.1978425,14
10,0.01528168,0.1017435,0.7728733,0.1982202,14
10,0.0279541,0.1015782,0.7741463,0.198469,14
10,0.04220581,0.101418,0.7753923,0.1987255,14
10,0.05535889,0.1009862,0.7763802,0.1991571,14
10,0.06982422,0.1005784,0.7773663,0.1995981,14
10,0.08343506,0.1001852,0.7783562,0.2000397,14
10,0.09674072,0.09984457,0.7791036,0.2004206,14
10,0.1110229,0.09952867,0.7798709,0.2008001,14
10,0.1248779,0.09911388,0.7811308,0.2008664,14
10,0.1397476,0.0987336,0.7823191,0.2009673,14
10,0.1529312,0.09838855,0.7834146,0.2011201,14
10,0.166626,0.09778458,0.7840937,0.2009908,14
10,0.1804886,0.09724361,0.7847196,0.2009275,14
10,0.1941299,0.09649354,0.7856264,0.2010192,14
10,0.2085648,0.0957455,0.7864889,0.2011764,14
10,0.2258682,0.09515667,0.787288,0.2015715,14
10,0.2357712,0.09457743,0.7881725,0.2020028,14
10,0.2513885,0.09401125,0.7891248,0.2024632,14
10,0.2653122,0.09314603,0.7901372,0.2030448,14
10,0.2788086,0.09231436,0.7912657,0.2036852,14
10,0.2925339,0.09151727,0.7924578,0.2043465,14
10,0.306572,0.09111077,0.7930806,0.205837,14
10,0.3194962,0.09069562,0.7938631,0.2072428,14
10,0.3339691,0.09084189,0.794117,0.2088886,14
10,0.3473587,0.09095371,0.7944036,0.2104251,14
10,0.3609161,0.09118932,0.7945497,0.2125108,14
10,0.3749619,0.09135342,0.7947525,0.2144872,14
10,0.3888855,0.09145182,0.7949982,0.2163357,14
10,0.403038,0.09101313,0.796363,0.2177779,14
10,0.4162598,0.09064084,0.7974811,0.2192936,14
10,0.4309845,0.09034091,0.7988909,0.2205913,14
10,0.4443817,0.09010977,0.8000368,0.2219775,14
10,0.4576416,0.0899213,0.8010168,0.223401,14
10,0.4721069,0.0898298,0.8016516,0.2248681,14
10,0.485466,0.08973038,0.8021157,0.2262805,14
10,0.4989166,0.09039301,0.8016731,0.2283329,14
10,0.5133133,0.09088552,0.8012648,0.2301578,14
10,0.5272293,0.09111619,0.8009195,0.2320101,14
10,0.5419159,0.09126288,0.8006027,0.2336749,14
10,0.5550308,0.09136003,0.80032,0.2352123,14
10,0.5689316,0.09126049,0.8008528,0.2365845,14
10,0.5829697,0.09116083,0.8012755,0.2379161,14
10,0.5965729,0.09115618,0.8024932,0.2392774,14
10,0.6111221,0.09110969,0.8035423,0.2405936,14
10,0.6248169,0.09131896,0.8034663,0.2418826,14
10,0.6394882,0.09148937,0.8035572,0.2431295,14
10,0.6524734,0.09164131,0.8037478,0.2443842,14
10,0.6661606,0.09253019,0.802889,0.2460774,14
10,0.6797714,0.09330481,0.8023337,0.2476217,14
10,0.6937714,0.09481716,0.8007246,0.2502315,14
10,0.7083664,0.09623045,0.7995209,0.2526948,14
10,0.7217484,0.09753275,0.7986528,0.2550204,14
10,0.7360229,0.09867829,0.797954,0.2584459,14
10,0.7498322,0.09971857,0.797528,0.2617003,14
10,0.763382,0.1004004,0.7975144,0.2656231,14
10,0.7775803,0.1010225,0.797546,0.2693231,14
