N,T1,T2,T3,T4,LR,M,E
0,0,0,1,0,R,B,1
1,0,1,0,0,R,A,0
2,0,0,1,0,R,B,0
3,0,0,1,0,R,B,1
4,0,1,0,0,R,A,0
5,0,0,1,0,R,B,1
6,0,1,0,0,R,A,1
7,0,0,1,0,L,C,1
8,0,0,1,0,R,B,0
9,0,0,1,0,L,C,0
10,0,0,1,0,R,B,1
11,0,1,0,0,R,A,0
12,0,0,1,0,R,B,0
13,0,1,0,0,R,A,1
14,0,0,1,0,R,B,0
15,0,1,0,0,R,A,1
16,0,0,1,0,L,C,0
17,0,0,1,0,L,C,1
18,0,0,1,0,L,C,1
19,0,0,1,0,R,B,0
20,0,1,0,0,R,A,0
21,0,0,1,0,L,C,1
22,0,0,1,0,L,C,0
23,0,0,1,0,L,C,0
24,0,0,1,0,L,C,1
25,0,1,0,0,R,A,1
26,0,0,1,0,R,B,1
27,0,1,0,0,R,A,1
28,0,0,1,0,L,C,0
29,0,1,0,0,R,A,0
