n,t,x,y,z,m
16,0,0.1055437,0.7685819,0.2259559,21
16,0.0136261,0.1047158,0.7730384,0.2307857,21
16,0.02879333,0.10438,0.7780313,0.2377793,21
16,0.04171753,0.1041493,0.7820303,0.2434006,21
16,0.05540466,0.1035382,0.7844907,0.2493941,21
16,0.06931305,0.1030682,0.7868885,0.2545916,21
16,0.08724213,0.10268,0.7892854,0.2593421,21
16,0.09699249,0.1008199,0.7911359,0.2654706,21
16,0.1123047,0.09952068,0.7928053,0.2710535,21
16,0.1259308,0.0992465,0.7921625,0.2786024,21
16,0.1398468,0.09894216,0.7922189,0.2854046,21
16,0.1534119,0.09860128,0.7927078,0.291635,21
16,0.1723099,0.09849137,0.7916139,0.3011597,21
16,0.182991,0.09821314,0.7914228,0.3094423,21
16,0.196846,0.09790194,0.7923517,0.3188779,21
16,0.2099686,0.09758687,0.7933974,0.3271672,21
16,0.2231064,0.09725344,0.7944796,0.3347386,21
16,0.2381363,0.0962466,0.7957854,0.3438581,21
16,0.2504654,0.09549415,0.7968305,0.3521735,21
16,0.264183,0.09357524,0.7990242,0.36129,21
16,0.2779541,0.09216064,0.8005918,0.3697211,21
16,0.2915802,0.09067786,0.7997642,0.3780138,21
16,0.3052444,0.08950043,0.7995224,0.3859599,21
16,0.3192139,0.08844537,0.7997146,0.3937241,21
16,0.3335342,0.08691633,0.7978479,0.4031857,21
16,0.3467636,0.08550686,0.7968915,0.4120492,21
16,0.3606186,0.08355761,0.7960863,0.4191207,21
16,0.3745117,0.08181745,0.795741,0.4264003,21
16,0.3880081,0.08116245,0.7944587,0.4334707,21
16,0.4023209,0.08033878,0.7937155,0.440773,21
16,0.4162292,0.07942289,0.79319,0.4482256,21
16,0.4305344,0.07946396,0.7901274,0.4548829,21
16,0.4449921,0.07921183,0.7879342,0.461867,21
16,0.4580612,0.07942265,0.7830526,0.4660816,21
16,0.4718475,0.0794884,0.7791975,0.4711722,21
16,0.485466,0.07946479,0.7759181,0.4768372,21
16,0.4996643,0.08076179,0.7714818,0.4793479,21
16,0.5132751,0.08167648,0.7676789,0.48286,21
