n,t,x,y,z,m
21,0,0.1151068,0.7683539,0.208598,23
21,0.0145874,0.1149042,0.7708127,0.2121012,23
21,0.0286026,0.1151554,0.7733009,0.2153786,23
21,0.0419693,0.1156816,0.7777953,0.2210955,23
21,0.05677032,0.1164098,0.7818108,0.2260712,23
21,0.0701828,0.1168287,0.7862089,0.234024,23
21,0.08921051,0.1168945,0.7901499,0.2404442,23
21,0.09739685,0.11682,0.7937412,0.2458123,23
21,0.1126709,0.1173368,0.7951005,0.2540467,23
21,0.1268082,0.1177565,0.7968303,0.2609154,23
21,0.140152,0.1167205,0.7975422,0.2680635,23
21,0.1543503,0.1160958,0.7986135,0.2743445,23
21,0.1678925,0.1162599,0.7987446,0.2808794,23
21,0.1821823,0.1164719,0.7994034,0.286936,23
21,0.1949768,0.1167206,0.8003796,0.2927253,23
21,0.2086182,0.1171462,0.8035113,0.29995,23
21,0.2228012,0.1175435,0.8062241,0.3067322,23
21,0.2362976,0.1174429,0.808228,0.3149077,23
21,0.2506561,0.1174814,0.8102881,0.3224293,23
21,0.2639465,0.1176191,0.8123584,0.3295204,23
21,0.2778854,0.1199203,0.8082111,0.3417057,23
21,0.2920074,0.1216198,0.8060618,0.3521019,23
21,0.3058014,0.121102,0.8039253,0.3626921,23
21,0.3196716,0.1209015,0.8027202,0.3721002,23
21,0.3335724,0.1209053,0.8020323,0.3808085,23
21,0.3473358,0.1205832,0.8019054,0.3892475,23
21,0.3617172,0.1205381,0.8019924,0.3974899,23
21,0.3753128,0.1189103,0.8033303,0.4063154,23
21,0.3906403,0.1178144,0.804504,0.4147797,23
21,0.4028397,0.1171638,0.8054111,0.4230872,23
21,0.4174881,0.1190459,0.802258,0.4333625,23
21,0.4309692,0.1203954,0.8004046,0.4429637,23
21,0.4443283,0.1205786,0.8024529,0.4456009,23
21,0.4589386,0.1209905,0.8033367,0.4499142,23
21,0.4725723,0.1211562,0.8031863,0.4518667,23
21,0.4866867,0.12198,0.8008326,0.4554266,23
21,0.5038834,0.1236283,0.7956856,0.4610759,23
21,0.5141602,0.1254219,0.7903504,0.4669533,23
21,0.5278397,0.1264513,0.7884626,0.4728276,23
21,0.5411682,0.1262231,0.7864146,0.4758266,23
21,0.555542,0.1263019,0.7844059,0.4794113,23
21,0.5695724,0.1265224,0.7825097,0.4834293,23
21,0.5827408,0.1279445,0.7778304,0.4873327,23
21,0.5987244,0.1293614,0.7732883,0.4915544,23
21,0.6111298,0.1305773,0.7684587,0.4945945,23
