n,t,x,y,z,m
18,0,0.09754413,0.7582471,0.181627,5
18,0.01502228,0.09747612,0.7584205,0.1814125,5
18,0.02861786,0.09732503,0.7586636,0.1811704,5
18,0.04398346,0.09714353,0.7589437,0.1809172,5
18,0.05641174,0.09712547,0.7590585,0.1807249,5
18,0.07029724,0.09713602,0.7591501,0.1805454,5
18,0.0880127,0.09717917,0.7589172,0.1803795,5
18,0.09747314,0.0972262,0.7586907,0.1802206,5
18,0.1130219,0.09725916,0.7585078,0.1800652,5
18,0.12677,0.09722495,0.7583122,0.1800347,5
18,0.1400986,0.09720522,0.7581285,0.180008,5
18,0.1540604,0.0971995,0.7583694,0.1800055,5
18,0.167717,0.09716791,0.7586201,0.1799995,5
18,0.1815643,0.0973404,0.7582857,0.1800619,5
18,0.1953278,0.09746224,0.7579968,0.1801169,5
18,0.2091446,0.0975467,0.7577362,0.1801673,5
18,0.2225037,0.09758538,0.7577626,0.1802395,5
18,0.2372513,0.09760362,0.7577724,0.1803093,5
18,0.2516861,0.0975641,0.7578171,0.1803846,5
18,0.2639999,0.0975337,0.7578062,0.1804531,5
18,0.2782745,0.09745306,0.7577444,0.1804608,5
18,0.2921906,0.09739113,0.7576659,0.1804618,5
18,0.3058548,0.09734339,0.7575704,0.1804598,5
18,0.319931,0.09725767,0.7576094,0.1804735,5
18,0.3337708,0.09718716,0.7576119,0.1804989,5
18,0.3476715,0.09681547,0.757573,0.1804662,5
18,0.3611755,0.09648722,0.7575036,0.1804434,5
18,0.3757706,0.09618711,0.7574106,0.180428,5
18,0.3893127,0.09566545,0.757501,0.1803611,5
18,0.4032593,0.09518093,0.7575849,0.1802972,5
18,0.4168854,0.09481663,0.7576912,0.1802182,5
18,0.4307098,0.09448034,0.7577882,0.1801438,5
18,0.4450302,0.09417969,0.7579048,0.1801275,5
18,0.4600754,0.09388441,0.7580128,0.1801183,5
18,0.4731522,0.09358948,0.7581164,0.1801175,5
18,0.4867172,0.09358877,0.7581199,0.1801751,5
18,0.5002899,0.09357011,0.7581488,0.1802408,5
18,0.5143509,0.09368658,0.758259,0.1803554,5
18,0.5282898,0.09376007,0.7583855,0.1804743,5
18,0.5421219,0.093804,0.7585266,0.1805976,5
18,0.5559158,0.09385258,0.7587905,0.18072,5
18,0.5700073,0.09387767,0.7590669,0.1808462,5
18,0.5835876,0.09400249,0.7594833,0.1811809,5
18,0.5975723,0.09411091,0.7599286,0.1815413,5
18,0.6121445,0.09420598,0.7603956,0.181919,5
18,0.6254044,0.09419292,0.7604867,0.1822639,5
18,0.6400146,0.0941425,0.760631,0.1826207,5
18,0.6533203,0.09392536,0.7608699,0.1831533,5
18,0.6683044,0.09370518,0.761135,0.1837003,5
18,0.6810608,0.0936169,0.7607852,0.1840167,5
18,0.6996384,0.09355164,0.760374,0.1843005,5
18,0.7089233,0.09350163,0.7599653,0.1845637,5
18,0.7240677,0.0935427,0.7598956,0.1849697,5
18,0.7382584,0.09359568,0.7597991,0.1853715,5
18,0.7516479,0.09348172,0.7601398,0.1859362,5
18,0.7649994,0.09340525,0.7604058,0.1865416,5
18,0.7794724,0.09318197,0.7623779,0.1888084,5
18,0.7927094,0.09294683,0.7644322,0.1912868,5
18,0.8069153,0.09272063,0.7663764,0.1936975,5
18,0.8199539,0.09314883,0.770093,0.1968172,5
18,0.8340302,0.0934937,0.7732426,0.1996467,5
18,0.8485565,0.09293979,0.7774165,0.2050198,5
18,0.8616104,0.09263974,0.7807585,0.2097314,5
18,0.8771439,0.09246105,0.7834941,0.2137637,5
18,0.8893127,0.09059435,0.7851523,0.2182478,5
18,0.9030991,0.08941573,0.7867758,0.2222014,5
