N,T1,T2,T3,T4,LR,M,E
0,0,0,1,0,L,C,0
1,1,0,0,0,L,A,2
2,0,1,0,0,L,B,0
3,0,1,0,0,L,B,0
4,0,0,1,0,L,C,2
5,1,0,0,0,L,A,2
6,0,1,0,0,R,A,2
7,0,1,0,0,L,B,2
8,1,0,0,0,L,A,0
9,1,0,0,0,L,A,2
10,0,0,1,0,R,B,0
11,0,0,1,0,L,C,0
12,0,0,1,0,L,C,2
13,0,1,0,0,R,A,0
14,0,1,0,0,L,B,2
15,0,0,1,0,R,B,0
16,0,1,0,0,R,A,0
17,0,0,1,0,L,C,2
18,0,0,1,0,L,C,2
19,0,0,1,0,R,B,2
20,0,1,0,0,R,A,2
21,0,0,1,0,L,C,2
22,0,0,1,0,L,C,0
23,1,0,0,0,L,A,0
24,0,0,1,0,R,B,2
25,0,0,1,0,L,C,0
26,0,1,0,0,R,A,0
27,0,0,1,0,L,C,0
28,0,1,0,0,L,B,0
29,0,0,1,0,R,B,2
