n,t,x,y,z,m
25,0,0.09791702,0.7722515,0.2103151,5
25,0.01431274,0.0965507,0.7741744,0.2137214,5
25,0.02859497,0.09540415,0.7759217,0.2168879,5
25,0.04248047,0.09472275,0.7762869,0.2222148,5
25,0.05627441,0.09472275,0.7762869,0.2222148,5
25,0.07012939,0.09366155,0.7777658,0.2310829,5
25,0.08355713,0.09397042,0.7761446,0.2364825,5
25,0.09744263,0.0941394,0.7752703,0.2412217,5
25,0.1117554,0.09462148,0.772137,0.2494152,5
25,0.1265869,0.09462148,0.772137,0.2494152,5
25,0.1394958,0.09503543,0.7687176,0.2656661,5
25,0.157196,0.09507012,0.7680063,0.2734675,5
25,0.1668701,0.09503967,0.7676727,0.2802568,5
25,0.1824341,0.09581047,0.7657695,0.2894137,5
25,0.196167,0.09628522,0.7645571,0.2973605,5
25,0.2100525,0.09796447,0.7632005,0.3037972,5
25,0.2232666,0.09796447,0.7632005,0.3037972,5
25,0.2372742,0.09999293,0.7614681,0.3160862,5
25,0.2511902,0.1006787,0.7652127,0.3193606,5
25,0.2642822,0.1012401,0.7676011,0.3232778,5
25,0.2789612,0.1007376,0.7695634,0.3267992,5
25,0.2922363,0.1007376,0.7695634,0.3267992,5
25,0.3061523,0.1010272,0.7713366,0.337216,5
25,0.3197937,0.1015094,0.7715628,0.3434831,5
25,0.3352356,0.1011354,0.7715044,0.3493117,5
25,0.3475037,0.1009049,0.771526,0.3550651,5
25,0.3612671,0.1007787,0.7715999,0.3607591,5
25,0.3758545,0.1010818,0.7708315,0.3678471,5
25,0.3894043,0.1013412,0.7703441,0.3745757,5
25,0.4028015,0.1015796,0.7700243,0.3810122,5
25,0.4170227,0.102468,0.7710642,0.386619,5
25,0.4307556,0.1032034,0.7719148,0.3922507,5
25,0.4447632,0.1018469,0.7736312,0.3951571,5
25,0.4587097,0.1018469,0.7736312,0.3951571,5
25,0.4724426,0.1018466,0.7765076,0.4032641,5
25,0.4866943,0.1027244,0.7777888,0.4081098,5
25,0.4998169,0.1034794,0.7788664,0.4131175,5
25,0.5144958,0.1040965,0.7769845,0.4180168,5
25,0.5280762,0.1040965,0.7769845,0.4180168,5
25,0.5438538,0.1047261,0.77705,0.425631,5
25,0.5559082,0.1047261,0.77705,0.425631,5
25,0.5697937,0.1047543,0.7788533,0.4322273,5
25,0.5835266,0.1048641,0.7769198,0.4363604,5
25,0.5976257,0.1049093,0.7756117,0.4406236,5
25,0.6121826,0.1040639,0.7758524,0.4435036,5
25,0.6253357,0.1035518,0.775938,0.4466676,5
25,0.6392517,0.1045386,0.7725682,0.4499448,5
25,0.6531677,0.1053873,0.7699975,0.4534486,5
25,0.6672668,0.1061246,0.7679431,0.4571158,5
25,0.6809998,0.1059948,0.7659327,0.4599673,5
25,0.6949463,0.1060197,0.7642102,0.4630207,5
25,0.7088318,0.10729,0.7607532,0.4653457,5
25,0.7226563,0.1082649,0.7580423,0.4679042,5
25,0.7366028,0.1090379,0.7558092,0.4706619,5
25,0.7521667,0.1087445,0.7530615,0.4720279,5
25,0.7643433,0.1086644,0.7510051,0.4737632,5
25,0.7781677,0.1088031,0.7482328,0.4746989,5
25,0.7922668,0.1087789,0.7464576,0.4760988,5
25,0.8060608,0.1107858,0.7446713,0.477247,5
25,0.8198853,0.1123036,0.7430786,0.4785781,5
25,0.8339233,0.113571,0.7415727,0.480089,5
25,0.8482056,0.1151969,0.7417426,0.4801672,5
