n,t,x,y,z,m
8,0,0.1089943,0.7745271,0.2086016,10
8,0.01411438,0.1092058,0.7786018,0.2102765,10
8,0.02804947,0.1078894,0.7853887,0.2120935,10
8,0.04200363,0.1070418,0.7912345,0.2137277,10
8,0.05600739,0.1068365,0.7973869,0.2161517,10
8,0.06972122,0.1067468,0.80282,0.2182243,10
8,0.08320236,0.1066838,0.8077288,0.22002,10
8,0.09758377,0.1080479,0.8132851,0.223208,10
8,0.1114273,0.1089593,0.8184001,0.2258703,10
8,0.1252899,0.1095193,0.8226392,0.2290463,10
8,0.1391296,0.1098725,0.8268603,0.2317656,10
8,0.1538582,0.110367,0.8315527,0.2346957,10
8,0.1707153,0.1106881,0.8360519,0.2373196,10
8,0.1804543,0.1109219,0.8404411,0.2397602,10
8,0.1943855,0.111074,0.8453752,0.2426674,10
8,0.2075958,0.1111237,0.850139,0.2453818,10
8,0.2215118,0.110394,0.8540801,0.2488731,10
8,0.2356949,0.1098832,0.8581766,0.2520948,10
8,0.2492981,0.1095184,0.8622583,0.2551169,10
8,0.2637939,0.1082829,0.866733,0.2597165,10
8,0.2775879,0.1073012,0.8711216,0.2638012,10
8,0.2918129,0.1057335,0.8749403,0.2680959,10
8,0.3051338,0.1044533,0.8789138,0.2719588,10
8,0.319046,0.1031833,0.8823453,0.2762234,10
8,0.3330917,0.1021167,0.8860117,0.2801674,10
8,0.3465843,0.1011678,0.8898211,0.2839186,10
8,0.3622704,0.1004126,0.8911792,0.2899038,10
8,0.3751907,0.09965652,0.8932447,0.2952651,10
8,0.3885956,0.09888411,0.8932035,0.3015481,10
8,0.4027939,0.09813541,0.8938199,0.3072911,10
8,0.4164619,0.09742022,0.8947614,0.3126954,10
8,0.4311104,0.09752184,0.8920109,0.3193087,10
8,0.4442139,0.0974738,0.8904553,0.325432,10
8,0.4583778,0.1003565,0.8850724,0.3354927,10
8,0.4722748,0.1022669,0.8815554,0.3442385,10
8,0.4857254,0.1068196,0.8738618,0.3559321,10
8,0.5000992,0.1099303,0.8685317,0.3657617,10
8,0.5139008,0.1118343,0.8632774,0.3740934,10
8,0.5279579,0.1134195,0.8591766,0.3817935,10
8,0.5417404,0.1148337,0.8556288,0.3891493,10
8,0.555809,0.1153498,0.8498964,0.3968759,10
8,0.5703392,0.116104,0.8450769,0.4043936,10
8,0.5832596,0.1169637,0.8393891,0.4102333,10
8,0.59795,0.1179364,0.8345133,0.4164321,10
8,0.6115837,0.1189616,0.8300883,0.4228681,10
8,0.6247864,0.1185223,0.8260894,0.4252192,10
8,0.6390419,0.1185535,0.8223535,0.4286384,10
8,0.652813,0.1204992,0.8173039,0.4329627,10
8,0.6666489,0.1221086,0.8128437,0.4377075,10
8,0.6806908,0.1235214,0.8086678,0.4428093,10
8,0.6947823,0.1244999,0.8026712,0.4476475,10
8,0.708252,0.1255264,0.7972523,0.4527444,10
8,0.7224197,0.1260695,0.7914554,0.458624,10
8,0.7364388,0.1267623,0.78587,0.4644445,10
8,0.7500839,0.125275,0.7838665,0.4667909,10
8,0.7641602,0.1245792,0.7810583,0.4698246,10
8,0.7788582,0.1242622,0.7777997,0.4733191,10
8,0.7918434,0.1257148,0.7719127,0.4764242,10
8,0.8055763,0.1269415,0.7663782,0.4799369,10
8,0.8199158,0.1278565,0.7622628,0.4816508,10
8,0.8336449,0.1287973,0.7580857,0.4839413,10
