n,t,x,y,z,m
19,0,0.1064484,0.7878835,0.2224553,24
19,0.0142746,0.1071752,0.7943897,0.2308569,24
19,0.02886963,0.1098974,0.7985935,0.2482274,24
19,0.04229736,0.1125115,0.8029047,0.2616654,24
19,0.05620575,0.1146439,0.8069571,0.2722485,24
19,0.06996918,0.1158086,0.8081509,0.2883687,24
19,0.08351898,0.1171778,0.8102839,0.3012488,24
19,0.09753418,0.1196308,0.8059326,0.3183439,24
19,0.1126938,0.1218637,0.8042122,0.3322951,24
19,0.1251678,0.1215214,0.8016068,0.3439891,24
19,0.1430664,0.1220036,0.8002586,0.3548654,24
19,0.1527252,0.1226185,0.7997881,0.3652347,24
19,0.168457,0.1226045,0.7994806,0.3719753,24
19,0.1821823,0.123225,0.7993037,0.3797668,24
19,0.195755,0.1236826,0.7980376,0.3906426,24
19,0.2094116,0.1238846,0.7976435,0.4011188,24
19,0.2229919,0.1239579,0.7977273,0.4112809,24
19,0.2369461,0.122071,0.7955848,0.4162354,24
19,0.2505798,0.1212286,0.7940087,0.422567,24
19,0.2646332,0.1211438,0.792353,0.4249219,24
19,0.2781067,0.1210536,0.7911432,0.4287893,24
19,0.2919922,0.1210876,0.7900851,0.4337019,24
19,0.3057709,0.1232091,0.7846045,0.4398264,24
19,0.3206329,0.1250081,0.7799695,0.4463723,24
19,0.3337173,0.123618,0.7767406,0.4479585,24
19,0.3474426,0.1222809,0.7739754,0.4505907,24
19,0.3611832,0.1217423,0.7693093,0.455065,24
19,0.3754196,0.1220837,0.7640501,0.4596848,24
19,0.389061,0.1225819,0.7590719,0.4643933,24
19,0.4029922,0.1236668,0.7526491,0.4671816,24
19,0.41642,0.1244324,0.7473478,0.470428,24
19,0.4309158,0.121443,0.7483833,0.4694651,24
19,0.444603,0.1183801,0.7493076,0.4699649,24
19,0.4582214,0.1154101,0.7493285,0.4701862,24
19,0.472435,0.1130733,0.7485435,0.4709291,24
19,0.4862671,0.1110998,0.7473447,0.4720839,24
19,0.5001984,0.1077972,0.746613,0.4718862,24
19,0.5142365,0.1050673,0.7456567,0.47216,24
19,0.5291901,0.1018903,0.7447305,0.4719916,24
19,0.5418854,0.09917313,0.7435793,0.4721108,24
19,0.5557632,0.09664303,0.7422548,0.4724555,24
19,0.5699615,0.0928266,0.7436466,0.472545,24
19,0.5839691,0.08989072,0.7441146,0.4726529,24
19,0.5976257,0.08636457,0.7464749,0.4728908,24
19,0.6113129,0.08338225,0.747744,0.4729837,24
19,0.6251373,0.08056474,0.7485453,0.4731135,24
19,0.6388397,0.07652026,0.7512839,0.4728148,24
19,0.653183,0.07241076,0.7538477,0.4726159,24
19,0.6672974,0.06885701,0.7568215,0.471811,24
19,0.6809845,0.06546444,0.7594055,0.4710831,24
19,0.6952744,0.06143099,0.7617235,0.4696348,24
19,0.709137,0.05793238,0.7636594,0.4683104,24
19,0.7228851,0.05478263,0.7653137,0.4670697,24
19,0.7378311,0.05478263,0.7653137,0.4670697,24
19,0.7501984,0.05395097,0.7652486,0.4669822,24
19,0.7642441,0.05168152,0.7658393,0.466723,24
19,0.7781525,0.0506469,0.7660021,0.4665993,24
19,0.79216,0.05046523,0.765425,0.4666609,24
19,0.8062363,0.05055094,0.7648766,0.4666963,24
19,0.8195419,0.05050451,0.7644101,0.4667427,24
19,0.833786,0.05107856,0.7644218,0.4670835,24
19,0.8477554,0.05148858,0.7645836,0.4674199,24
19,0.862114,0.05178899,0.765812,0.4678525,24
19,0.8752441,0.05187935,0.7671908,0.4682351,24
19,0.8894348,0.05185336,0.7685307,0.4685442,24
19,0.9039078,0.05216187,0.769623,0.4682735,24
19,0.917366,0.0525158,0.7706256,0.4679903,24
19,0.9314423,0.05428553,0.7704519,0.4681908,24
19,0.9462738,0.05570751,0.7704449,0.4682946,24
19,0.9581985,0.05688614,0.7705526,0.468346,24
19,0.9730453,0.05839819,0.7707269,0.4679058,24
19,0.9865341,0.05976957,0.7710026,0.4675035,24
19,1.000175,0.06147707,0.7707983,0.4666083,24
19,1.014389,0.06303537,0.7707624,0.4658007,24
19,1.02832,0.06445402,0.7708318,0.4650664,24
19,1.042221,0.06591356,0.7701817,0.4648925,24
19,1.055794,0.06728894,0.7697203,0.4647193,24
19,1.070297,0.06772172,0.7698455,0.4649515,24
19,1.083954,0.06821477,0.7700492,0.4651461,24
19,1.10154,0.0677228,0.7693378,0.4650544,24
19,1.111702,0.06736875,0.7689422,0.4650044,24
19,1.127609,0.06709737,0.7687842,0.465004,24
19,1.141731,0.06598878,0.7680166,0.4643001,24
19,1.155907,0.06504166,0.7675828,0.463745,24
19,1.168549,0.06241089,0.7666152,0.4625494,24
19,1.182388,0.05928022,0.7665804,0.4615742,24
19,1.195778,0.05237752,0.766065,0.4602626,24
19,1.209702,0.04608631,0.7661816,0.4593016,24
19,1.223579,0.04076713,0.766481,0.4585319,24
19,1.237061,0.03440392,0.766691,0.4576029,24
19,1.251137,0.028813,0.7671632,0.4567572,24
19,1.264961,0.02437162,0.7658588,0.457823,24
19,1.278465,0.0200237,0.7651355,0.4583315,24
19,1.292526,0.01587945,0.7646871,0.4585324,24
19,1.30658,0.01406425,0.7627507,0.4610853,24
19,1.320198,0.01144922,0.7612043,0.4626433,24
19,1.334053,0.01215589,0.7579973,0.4667867,24
19,1.348091,0.01132268,0.7553517,0.4696429,24
19,1.362747,0.00964129,0.7530663,0.4717988,24
