N,T1,T2,T3,T4,LR,M,E
0,0,0,1,0,R,B,2
1,0,1,0,0,R,A,0
2,0,0,1,0,R,B,0
3,0,0,1,0,R,B,2
4,0,1,0,0,R,A,2
5,0,1,0,0,R,A,2
6,0,1,0,0,R,A,2
7,0,0,1,0,R,B,2
8,0,1,0,0,R,A,0
9,0,0,1,0,R,B,2
10,0,0,1,0,R,B,0
11,0,0,0,1,R,C,0
12,0,1,0,0,R,A,2
13,0,1,0,0,R,A,0
14,0,0,0,1,R,C,2
15,0,0,0,1,R,C,0
16,0,0,0,1,R,C,0
17,0,0,0,1,R,C,2
18,0,0,1,0,R,B,0
19,0,0,1,0,R,B,0
20,0,0,1,0,R,B,0
21,0,0,0,1,R,C,2
22,0,0,0,1,R,C,0
23,0,0,0,1,R,C,2
24,0,1,0,0,R,A,2
25,0,1,0,0,R,A,0
26,0,1,0,0,R,A,0
27,0,0,0,1,R,C,2
28,0,0,0,1,R,C,0
29,0,0,1,0,R,B,2
