n,t,x,y,z,m
29,0,0.1061737,0.7731729,0.2159312,22
29,0.01463318,0.1072429,0.7812065,0.2249633,22
29,0.03403473,0.1079492,0.7876203,0.2320465,22
29,0.04197693,0.1084641,0.7927434,0.2376594,22
29,0.05697632,0.1087672,0.7980903,0.2501273,22
29,0.07126617,0.1088734,0.8027239,0.2595435,22
29,0.08465576,0.1080328,0.8050803,0.2737434,22
29,0.09859467,0.1075619,0.8078118,0.2847932,22
29,0.1120758,0.1073619,0.8107073,0.293952,22
29,0.1259003,0.1069208,0.8089849,0.3091666,22
29,0.1391449,0.1066918,0.8092076,0.3213753,22
29,0.1530609,0.1071681,0.8048018,0.334578,22
29,0.1671143,0.1074204,0.8030901,0.3456788,22
29,0.1819153,0.1061486,0.8050399,0.3536206,22
29,0.1986542,0.1053113,0.8066236,0.3616214,22
29,0.2085724,0.1047015,0.8080727,0.369745,22
29,0.2217865,0.1073902,0.8045007,0.3806193,22
29,0.235733,0.1086168,0.8031067,0.3904926,22
29,0.2494888,0.112309,0.7982191,0.4020495,22
29,0.2634964,0.114212,0.7956733,0.4123763,22
29,0.2771683,0.1188663,0.7865078,0.4252817,22
29,0.2915649,0.1220919,0.7808663,0.4369237,22
29,0.3053055,0.1247114,0.7768753,0.4476941,22
29,0.3187866,0.1258992,0.7709799,0.4551275,22
29,0.3333206,0.1277702,0.7664026,0.4634181,22
29,0.3469162,0.1271241,0.7640067,0.4680082,22
29,0.3608017,0.1281958,0.7605122,0.474091,22
29,0.3750153,0.1297202,0.7568274,0.4809957,22
