N,T1,T2,T3,T4,LR,M,E
0,0,0,0,1,R,C,0
1,0,0,1,0,R,B,0
2,0,1,0,0,R,A,0
3,0,0,0,1,R,C,0
4,0,0,1,0,R,B,0
5,0,1,0,0,R,A,0
6,0,0,1,0,R,B,0
7,0,0,1,0,R,B,0
8,0,1,0,0,R,A,0
9,0,0,0,1,R,C,0
10,0,1,0,0,R,A,0
11,0,1,0,0,R,A,0
12,0,0,0,1,R,C,0
13,0,1,0,0,R,A,0
14,0,0,0,1,R,C,0
15,0,0,0,1,R,C,0
16,0,1,0,0,R,A,0
17,0,0,1,0,R,B,0
18,0,0,0,1,R,C,0
19,0,0,0,1,R,C,0
20,0,1,0,0,R,A,0
21,0,0,1,0,R,B,0
22,0,1,0,0,R,A,0
23,0,0,1,0,R,B,0
24,0,0,1,0,R,B,0
25,0,1,0,0,R,A,0
26,0,0,1,0,R,B,0
27,0,0,0,1,R,C,0
28,0,0,0,1,R,C,0
29,0,0,1,0,R,B,0
