n,t,x,y,z,m
17,0,0.09864336,0.7605657,0.2265335,14
17,0.01475525,0.09853435,0.7612481,0.2324327,14
17,0.02874756,0.09851563,0.7618877,0.2374343,14
17,0.04241943,0.1003515,0.7597158,0.247022,14
17,0.05654907,0.1016356,0.7585936,0.2548594,14
17,0.07014465,0.1046404,0.7551407,0.2646869,14
17,0.08390808,0.1066597,0.7530997,0.272767,14
17,0.09780884,0.1081714,0.7517746,0.2797567,14
17,0.1118774,0.1089847,0.7521736,0.2869268,14
17,0.1257935,0.1098792,0.7519171,0.2934433,14
17,0.1414642,0.1095592,0.7583933,0.2973819,14
17,0.1581726,0.1097414,0.7624095,0.3015543,14
17,0.1667633,0.1102252,0.7646675,0.3059543,14
17,0.1826324,0.1133159,0.7667755,0.3120271,14
17,0.1962433,0.1157727,0.7680562,0.3179466,14
17,0.2105408,0.1186478,0.7670546,0.3246375,14
17,0.2234192,0.12085,0.7663229,0.3310126,14
17,0.2373199,0.1236769,0.7627524,0.339069,14
17,0.250946,0.1259286,0.7603465,0.3464473,14
17,0.2646179,0.1319115,0.7548499,0.3566505,14
17,0.2786102,0.1362895,0.7509643,0.3654751,14
17,0.292572,0.1397477,0.7479329,0.3733687,14
17,0.3064728,0.1424369,0.7486932,0.3772097,14
17,0.3198395,0.1448262,0.7487055,0.3817576,14
17,0.3338776,0.1488423,0.7461364,0.3857846,14
17,0.3499146,0.1525156,0.744061,0.3903826,14
17,0.3612823,0.1557389,0.7424524,0.3954537,14
17,0.3758698,0.158234,0.7392994,0.3975994,14
17,0.389801,0.1603906,0.737196,0.4006664,14
17,0.4029694,0.1621047,0.7348284,0.4008868,14
17,0.4206238,0.1638146,0.7320828,0.401518,14
17,0.430954,0.1655266,0.7292163,0.4025091,14
17,0.4444427,0.1651546,0.7264279,0.4004375,14
17,0.458252,0.1655318,0.7231435,0.3983822,14
17,0.472229,0.1638227,0.7216396,0.3950661,14
17,0.4862366,0.1631739,0.7200311,0.3919913,14
17,0.4997711,0.1594512,0.7211539,0.3886991,14
17,0.5143127,0.1573238,0.7216919,0.3853918,14
17,0.5282898,0.1558579,0.7221216,0.3822101,14
17,0.5417175,0.1556793,0.7250878,0.3875867,14
17,0.5575409,0.1557421,0.7271295,0.3914242,14
17,0.5698395,0.1559349,0.7287502,0.3945333,14
17,0.5835571,0.1577763,0.7381931,0.4121749,14
17,0.5972137,0.1594577,0.7535273,0.4293239,14
17,0.6116638,0.1584677,0.7639365,0.4362256,14
17,0.625061,0.1579587,0.773523,0.4410251,14
17,0.6392365,0.1565605,0.7761953,0.442609,14
17,0.6530457,0.1559649,0.7803596,0.4444514,14
17,0.6668549,0.1555892,0.7795004,0.4446073,14
17,0.6807861,0.1555505,0.7801021,0.4450896,14
17,0.6949921,0.1556794,0.7815504,0.4457951,14
17,0.7089539,0.1567366,0.7799367,0.4456892,14
17,0.7225342,0.1574719,0.7792148,0.4458537,14
17,0.7363892,0.1578348,0.7792563,0.4464439,14
17,0.7504578,0.158245,0.778073,0.4469129,14
17,0.7660065,0.1586447,0.7759487,0.4472027,14
17,0.7784271,0.1585983,0.7745231,0.4477026,14
17,0.7921143,0.1586565,0.773162,0.4482106,14
17,0.8061676,0.1589194,0.7722702,0.449319,14
17,0.819931,0.1592224,0.7715288,0.4504848,14
17,0.8337402,0.1593954,0.7716018,0.451647,14
17,0.8482361,0.1596003,0.7717256,0.4528117,14
17,0.8614655,0.1598281,0.7718919,0.4539804,14
17,0.875946,0.1605303,0.7712803,0.4554282,14
17,0.8895874,0.1612378,0.7707634,0.4568915,14
17,0.9033813,0.1619243,0.7703267,0.4583446,14
17,0.9176178,0.1629285,0.7693605,0.459317,14
17,0.9312439,0.1638156,0.7684804,0.4603789,14
17,0.9450836,0.1646494,0.7677284,0.4614688,14
17,0.959137,0.1654424,0.7670797,0.4625731,14
17,0.9746704,0.1662098,0.7663831,0.463349,14
17,0.9873962,0.1669483,0.7657781,0.4641538,14
17,1.000809,0.1676445,0.7652254,0.4649868,14
17,1.015137,0.1678139,0.7645706,0.4653618,14
17,1.028641,0.1679766,0.764001,0.4657875,14
17,1.042404,0.1686476,0.7632315,0.4661257,14
17,1.056519,0.1693037,0.7625331,0.4664932,14
17,1.07019,0.1699286,0.7619044,0.4669065,14
17,1.084106,0.1703578,0.7612611,0.4667925,14
17,1.09819,0.1704521,0.7606547,0.4665512,14
17,1.112366,0.1705987,0.7601107,0.4663773,14
17,1.1259,0.1707759,0.7596243,0.4662311,14
17,1.13942,0.170541,0.7596,0.4662327,14
17,1.153671,0.1704053,0.7595023,0.4662092,14
17,1.167465,0.1703287,0.7593511,0.4661658,14
17,1.183685,0.1703379,0.7593989,0.466172,14
17,1.195648,0.1703796,0.7594075,0.4661984,14
17,1.209991,0.170651,0.7590675,0.4663954,14
17,1.223083,0.1710077,0.7586395,0.4667526,14
17,1.237167,0.1713347,0.7581443,0.4670519,14
17,1.251266,0.1716787,0.7576571,0.467399,14
17,1.264755,0.1720223,0.7572091,0.467791,14
17,1.279099,0.1726413,0.7569284,0.4682679,14
17,1.292755,0.1731942,0.7566507,0.4687821,14
17,1.306564,0.1736362,0.7567326,0.4694928,14
17,1.320648,0.1741394,0.7566938,0.4701957,14
