N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,R,A,0
1,0,1,0,0,R,A,1
2,0,0,1,0,R,B,1
3,0,0,0,1,R,C,0
4,0,0,0,1,R,C,1
5,0,0,1,0,R,B,0
6,0,0,1,0,R,B,1
7,1,0,0,0,L,A,1
8,0,0,1,0,L,C,1
9,0,0,1,0,R,B,0
10,0,1,0,0,L,B,1
11,0,1,0,0,R,A,0
12,0,0,1,0,L,C,1
13,1,0,0,0,L,A,1
14,0,0,1,0,L,C,0
15,0,0,1,0,L,C,0
16,0,0,1,0,R,B,0
17,0,0,0,1,R,C,1
18,0,0,1,0,R,B,0
19,1,0,0,0,L,A,1
20,0,0,0,1,R,C,0
21,0,1,0,0,R,A,0
22,0,1,0,0,R,A,0
23,0,0,0,1,R,C,0
24,0,1,0,0,L,B,1
25,0,0,1,0,R,B,1
26,1,0,0,0,L,A,1
27,0,0,1,0,L,C,1
28,0,1,0,0,L,B,0
29,0,1,0,0,R,A,0
