n,t,x,y,z,m
9,0,0.09561777,0.7604243,0.2270577,10
9,0.01546478,0.09560466,0.7608516,0.2310835,10
9,0.02960587,0.09565222,0.7607433,0.2352946,10
9,0.04227448,0.09570324,0.7607976,0.2390695,10
9,0.05657578,0.09572947,0.7609533,0.2425212,10
9,0.07509232,0.0966574,0.7596562,0.2482619,10
9,0.0842247,0.09744197,0.7587598,0.2534232,10
9,0.09897995,0.09864956,0.7572784,0.2596419,10
9,0.1134415,0.09968895,0.7566235,0.2652051,10
9,0.1266212,0.100607,0.7564264,0.2702501,10
9,0.1403351,0.1017163,0.7560427,0.2764819,10
9,0.1539536,0.1027361,0.7557428,0.2821265,10
9,0.1675186,0.1036134,0.7557174,0.287815,10
9,0.1819,0.1044165,0.7555803,0.2931283,10
9,0.1952705,0.1046884,0.7547589,0.2981163,10
9,0.2096786,0.1051871,0.7537735,0.3029802,10
9,0.222599,0.1057913,0.7527657,0.3077759,10
9,0.2373581,0.1058522,0.751592,0.3128561,10
9,0.2503281,0.1060287,0.7505987,0.317858,10
9,0.2642441,0.1065388,0.7505985,0.3238482,10
9,0.2784805,0.106824,0.7506775,0.3295723,10
9,0.2925072,0.1069843,0.7507944,0.33509,10
9,0.3057823,0.1087954,0.7498643,0.3413406,10
9,0.3197746,0.1100169,0.7491235,0.3472305,10
9,0.3335915,0.1101081,0.7507774,0.3538339,10
9,0.3479881,0.1103047,0.7516502,0.3600428,10
9,0.3612938,0.1112216,0.7513325,0.3675638,10
9,0.3761406,0.1119598,0.7509897,0.374534,10
9,0.3894196,0.1125821,0.7506435,0.3811013,10
9,0.4028854,0.1116077,0.752267,0.3886245,10
9,0.4170799,0.111075,0.753244,0.3956642,10
9,0.4313202,0.110045,0.7550443,0.4004467,10
9,0.4459152,0.1093103,0.7563094,0.4055226,10
9,0.4589119,0.1087395,0.7572631,0.4108017,10
9,0.4729004,0.1079924,0.7619085,0.4156846,10
9,0.4864769,0.107323,0.765409,0.4208497,10
9,0.5002251,0.1107075,0.7624516,0.4290068,10
9,0.5145607,0.1129082,0.760824,0.4364754,10
9,0.5284538,0.1144334,0.7599574,0.4434782,10
9,0.5422935,0.1158211,0.7578787,0.4518476,10
9,0.5560837,0.1169731,0.7564752,0.4595338,10
9,0.5698814,0.1166372,0.7545778,0.4646052,10
9,0.5837326,0.1167244,0.7531511,0.4699688,10
9,0.5979767,0.1177351,0.7524306,0.4737056,10
9,0.6122208,0.1185407,0.7519391,0.4780597,10
9,0.6259117,0.1193809,0.7515512,0.4825963,10
