n,t,x,y,z,m
21,0,0.1014497,0.775137,0.2036412,11
21,0.01319885,0.1009722,0.7841309,0.2089442,11
21,0.02729797,0.1007043,0.7914417,0.2133602,11
21,0.04051208,0.1005884,0.7974094,0.2170404,11
21,0.05522156,0.1008884,0.8053409,0.2236355,11
21,0.07281494,0.1011783,0.8119038,0.2289731,11
21,0.08265686,0.1031448,0.8151363,0.236299,11
21,0.09779358,0.1045564,0.8184944,0.2422602,11
21,0.1123505,0.1049636,0.8225155,0.2493384,11
21,0.1252289,0.1053575,0.8264709,0.2554772,11
21,0.1385803,0.1057661,0.8303693,0.2610027,11
21,0.1563873,0.1057037,0.8339818,0.2675572,11
21,0.1664581,0.1058549,0.8375143,0.2735584,11
21,0.1820831,0.1076292,0.8382074,0.2810415,11
21,0.1958771,0.1090524,0.8397633,0.2877697,11
21,0.2101135,0.1113011,0.8381634,0.2973808,11
21,0.2227173,0.1130048,0.8382528,0.3055884,11
21,0.2358246,0.114499,0.8390287,0.3130509,11
21,0.2502136,0.1159997,0.8389211,0.3212243,11
21,0.263092,0.1172791,0.8395204,0.3287015,11
21,0.2770081,0.1193598,0.8388084,0.3355705,11
21,0.2910614,0.1213914,0.838504,0.3424087,11
21,0.3040466,0.1234297,0.8384927,0.3492633,11
21,0.3185272,0.1247035,0.8364165,0.3553604,11
21,0.3322296,0.1260883,0.8353622,0.361559,11
21,0.3461761,0.1277882,0.8358675,0.3677571,11
21,0.3596344,0.1292795,0.8364589,0.3740037,11
21,0.3735809,0.1306874,0.8371572,0.3803132,11
21,0.3880157,0.1347107,0.8312864,0.390968,11
21,0.4011383,0.1347107,0.8312864,0.390968,11
21,0.4165344,0.1446149,0.8214465,0.411686,11
21,0.429184,0.1496547,0.8175255,0.4213881,11
21,0.4427338,0.1518331,0.8147199,0.4278433,11
21,0.4570007,0.1545462,0.8121843,0.4344508,11
21,0.4710541,0.1545462,0.8121843,0.4344508,11
21,0.4846039,0.1580874,0.8123608,0.4438595,11
21,0.4986572,0.1580874,0.8123608,0.4438595,11
21,0.5123901,0.1598575,0.8116343,0.4502652,11
21,0.5265503,0.1611519,0.8098985,0.453821,11
21,0.5398712,0.1611519,0.8098985,0.453821,11
21,0.5540466,0.1670555,0.8048421,0.4617462,11
21,0.5682526,0.1693786,0.8019816,0.4661726,11
21,0.5819092,0.1698138,0.7980729,0.468931,11
21,0.5961609,0.1708998,0.7948554,0.4721679,11
21,0.6099701,0.1748541,0.7900918,0.4763021,11
21,0.6250916,0.1777933,0.7861325,0.4804743,11
21,0.6378174,0.1803305,0.7825554,0.4846612,11
21,0.651825,0.1793883,0.7796267,0.4871216,11
21,0.6656189,0.1802465,0.7765984,0.48995,11
21,0.679184,0.1797412,0.7743157,0.4926023,11
21,0.6932068,0.1805234,0.7714406,0.4955375,11
21,0.7071075,0.1804643,0.7693648,0.4969258,11
