N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,R,A,2
1,1,0,0,0,L,A,0
2,0,0,1,0,R,B,0
3,0,0,0,1,R,C,2
4,0,0,0,1,R,C,2
5,0,0,1,0,R,B,2
6,0,1,0,0,R,A,0
7,0,1,0,0,R,A,0
8,0,0,0,1,R,C,2
9,0,1,0,0,R,A,2
10,0,1,0,0,R,A,0
11,0,0,1,0,R,B,0
12,0,1,0,0,R,A,0
13,0,0,1,0,L,C,0
14,0,1,0,0,R,A,2
15,0,0,0,1,R,C,0
16,0,0,1,0,R,B,2
17,0,0,1,0,R,B,2
18,0,0,0,1,R,C,0
19,0,0,1,0,R,B,0
20,0,1,0,0,R,A,2
21,0,0,0,1,R,C,2
22,0,0,0,1,R,C,0
23,0,0,0,1,R,C,2
24,0,0,1,0,R,B,0
25,0,1,0,0,R,A,2
26,0,0,1,0,R,B,2
27,0,0,1,0,R,B,0
28,0,0,1,0,R,B,2
29,0,0,0,1,R,C,0
