n,t,x,y,z,m
23,0,0.09880686,0.7679908,0.1849389,15
23,0.01443481,0.09843892,0.7693979,0.1849263,15
23,0.02880859,0.09827566,0.770479,0.1853893,15
23,0.04232788,0.09826833,0.7718779,0.1860384,15
23,0.05641174,0.09910917,0.7759985,0.1897746,15
23,0.07041931,0.09981871,0.780112,0.1933978,15
23,0.0838623,0.1001735,0.7884582,0.2011722,15
23,0.09786987,0.1005506,0.7953094,0.207628,15
23,0.1117096,0.1009286,0.8009492,0.2128598,15
23,0.1257935,0.1017493,0.8100369,0.2217171,15
23,0.1395569,0.1024074,0.8174111,0.2287302,15
23,0.153595,0.102604,0.8262721,0.2379897,15
23,0.1673126,0.102981,0.8336731,0.2454828,15
23,0.1822815,0.1034246,0.8402048,0.2519081,15
23,0.1954041,0.1029453,0.8481585,0.2596856,15
23,0.2089081,0.1027815,0.855225,0.2664622,15
23,0.2226563,0.1018887,0.8588936,0.2747194,15
23,0.2384338,0.1012899,0.8630561,0.2819923,15
23,0.2506256,0.1008509,0.8674847,0.2887315,15
23,0.2638855,0.1001988,0.8693485,0.2981292,15
23,0.2781067,0.09965658,0.8722026,0.3064628,15
23,0.2923584,0.09639591,0.8746532,0.3138397,15
23,0.3056488,0.09415752,0.8776921,0.321005,15
23,0.3200073,0.09269625,0.8768209,0.3295921,15
23,0.3341522,0.09147096,0.8773978,0.337628,15
23,0.3487701,0.09040284,0.878759,0.345351,15
23,0.3621063,0.08863568,0.8749791,0.3553839,15
23,0.3755951,0.08715129,0.8730299,0.3645866,15
23,0.3909912,0.08478749,0.8706718,0.3711984,15
23,0.4028168,0.08294797,0.869263,0.378107,15
23,0.4173737,0.08235627,0.8655778,0.3851011,15
23,0.4310608,0.08193481,0.8625302,0.3923938,15
23,0.4443359,0.08154261,0.8600452,0.3998386,15
23,0.4592896,0.08154976,0.8562188,0.4042998,15
23,0.4725037,0.08129615,0.8533597,0.4094686,15
23,0.486557,0.0795489,0.8497295,0.413123,15
23,0.5004272,0.07834566,0.8465428,0.4177768,15
23,0.5142059,0.07725281,0.8437335,0.4229983,15
23,0.5286713,0.07433897,0.8403153,0.4271193,15
23,0.5422516,0.07205081,0.8372315,0.4318704,15
23,0.5566711,0.06997716,0.8323284,0.4351682,15
23,0.5700836,0.06807768,0.8282089,0.4390363,15
23,0.5836945,0.06629121,0.8244531,0.4432879,15
23,0.5988312,0.0661782,0.8176885,0.4464609,15
23,0.6116638,0.06573451,0.8119591,0.450014,15
23,0.625351,0.06646675,0.8073781,0.4513847,15
23,0.6396637,0.06687611,0.8028083,0.4533251,15
23,0.6535492,0.06896132,0.7963003,0.4568988,15
23,0.6675262,0.07060784,0.7897891,0.4607008,15
23,0.6805267,0.0718869,0.7834274,0.4645679,15
23,0.6950684,0.07434857,0.775772,0.4694788,15
23,0.7086334,0.07615292,0.7686445,0.474113,15
23,0.7225342,0.07883066,0.7633556,0.479384,15
