N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,L,B,1
1,0,0,1,0,R,B,0
2,1,0,0,0,L,A,0
3,0,0,1,0,R,B,1
4,0,0,1,0,L,C,0
5,1,0,0,0,L,A,1
6,0,0,1,0,L,C,1
7,0,0,1,0,L,C,1
8,1,0,0,0,L,A,1
9,0,1,0,0,L,B,1
10,0,1,0,0,R,A,0
11,0,0,1,0,R,B,0
12,0,1,0,0,L,B,1
13,0,1,0,0,L,B,1
14,0,0,0,1,R,C,0
15,1,0,0,0,L,A,1
16,0,0,1,0,R,B,0
17,0,1,0,0,L,B,0
18,0,1,0,0,R,A,0
19,0,0,1,0,L,C,1
20,1,0,0,0,L,A,0
21,0,0,1,0,L,C,1
22,0,0,1,0,L,C,1
23,0,0,0,1,R,C,0
24,1,0,0,0,L,A,1
25,0,0,1,0,L,C,0
26,0,1,0,0,R,A,0
27,0,0,1,0,R,B,0
28,0,0,1,0,L,C,0
29,1,0,0,0,L,A,1
