n,t,x,y,z,m
12,0,0.09735113,0.747206,0.2266372,3
12,0.0146637,0.09693688,0.7465411,0.2296529,3
12,0.03341675,0.09608424,0.7464058,0.2333016,3
12,0.04211426,0.09531766,0.7462627,0.2366398,3
12,0.05741119,0.09353387,0.747559,0.2394435,3
12,0.07123566,0.09200841,0.7485535,0.2420967,3
12,0.08467865,0.09045267,0.750556,0.2446122,3
12,0.09842682,0.08902317,0.7522332,0.2470663,3
12,0.1124725,0.087686,0.7536791,0.2494733,3
12,0.1266479,0.08753413,0.7545248,0.2532236,3
12,0.1395569,0.08722198,0.7553239,0.2567546,3
12,0.1546555,0.08712405,0.7554025,0.2600075,3
12,0.1669693,0.08690268,0.7555817,0.2631127,3
12,0.1806412,0.08659828,0.7558298,0.2661181,3
12,0.1949921,0.08506995,0.75708,0.2688626,3
12,0.2086334,0.08370185,0.7581915,0.2716248,3
12,0.222702,0.08348358,0.7584753,0.2759548,3
12,0.2359314,0.08316392,0.758847,0.2800469,3
12,0.2499161,0.08278179,0.7592627,0.2839158,3
12,0.2639084,0.08203608,0.7569143,0.2897161,3
12,0.2777176,0.08132082,0.7551267,0.2949896,3
12,0.292244,0.0806638,0.751942,0.301147,3
12,0.3056488,0.08002204,0.7495396,0.3066886,3
12,0.3191681,0.07878768,0.7489023,0.3110949,3
12,0.333313,0.0777545,0.7482902,0.3153363,3
12,0.3470078,0.07684094,0.7477075,0.3194923,3
12,0.3626022,0.07619494,0.7496681,0.3220364,3
12,0.3751907,0.07546669,0.7509919,0.3248465,3
12,0.3893051,0.07523227,0.7527927,0.3278629,3
12,0.4026413,0.07482719,0.7542188,0.3310722,3
12,0.4159851,0.07433289,0.7554129,0.3344412,3
12,0.4307632,0.07376862,0.7572414,0.3370935,3
12,0.4445267,0.07316136,0.7587296,0.3399372,3
12,0.4584045,0.07342941,0.7590818,0.3451733,3
12,0.4721527,0.07351249,0.7594733,0.350211,3
12,0.4859924,0.07343304,0.7599391,0.3539568,3
12,0.4997101,0.07324201,0.7605014,0.3576408,3
12,0.5138931,0.07297295,0.7611577,0.3612928,3
12,0.5285187,0.07287538,0.7612734,0.3661668,3
12,0.5418625,0.07272631,0.7616072,0.3708346,3
12,0.5562286,0.07259476,0.7614022,0.375947,3
12,0.5711288,0.07244533,0.7613149,0.3807896,3
12,0.5834122,0.07228601,0.7613038,0.3854155,3
12,0.5974579,0.07162249,0.7612535,0.3893653,3
12,0.6111374,0.07108039,0.7612475,0.3933264,3
12,0.6252136,0.07151425,0.7604454,0.3981567,3
12,0.6386642,0.0719524,0.7597651,0.4029078,3
12,0.6557617,0.07230169,0.7592206,0.407567,3
12,0.6671066,0.07364309,0.758966,0.4136893,3
12,0.6798706,0.07421023,0.75907,0.4178145,3
12,0.6948242,0.07458967,0.7590876,0.4219145,3
12,0.7081146,0.07484221,0.7590399,0.4260217,3
12,0.7216873,0.07499433,0.7586383,0.4309978,3
12,0.7359467,0.07510144,0.7583712,0.4358692,3
12,0.7497711,0.07519156,0.7581947,0.440647,3
12,0.7639389,0.07516664,0.7567972,0.4452272,3
12,0.7784653,0.07517034,0.7558007,0.4497773,3
12,0.7919235,0.07599896,0.7553416,0.4556933,3
12,0.8054581,0.07664132,0.7550356,0.4613259,3
12,0.8190613,0.07757849,0.7540085,0.464366,3
12,0.8334732,0.07831585,0.7531736,0.4676415,3
12,0.8473969,0.07892054,0.7524449,0.4711269,3
12,0.8616333,0.08128184,0.750367,0.4768711,3
12,0.8753433,0.08319342,0.7486912,0.4824631,3
