n,t,x,y,z,m
18,0,0.0942502,0.7633832,0.2236697,13
18,0.0152359,0.09246647,0.7637212,0.2285318,13
18,0.02902985,0.09246647,0.7637212,0.2285318,13
18,0.0435791,0.08764905,0.7632248,0.2416902,13
18,0.05612183,0.08589405,0.7634702,0.2469423,13
18,0.06989288,0.08587801,0.7612973,0.2561146,13
18,0.08395386,0.08553976,0.7600557,0.2638517,13
18,0.09760284,0.08553976,0.7600557,0.2638517,13
18,0.1115646,0.08342898,0.7597901,0.2806436,13
18,0.1252823,0.08243823,0.7611544,0.2889425,13
18,0.1387939,0.08154464,0.7623261,0.2964616,13
18,0.1534195,0.08071631,0.7633806,0.3034933,13
18,0.1672516,0.08071631,0.7633806,0.3034933,13
18,0.1812592,0.07850438,0.7692867,0.3186441,13
18,0.1946945,0.078291,0.7703249,0.3263806,13
18,0.208374,0.0779922,0.7712565,0.3337595,13
18,0.2226028,0.077636,0.7721314,0.3409038,13
18,0.2364044,0.07809615,0.7702218,0.3505796,13
18,0.2518997,0.07818824,0.7689266,0.3593473,13
18,0.2641602,0.07818824,0.7689266,0.3593473,13
18,0.2776718,0.07713968,0.7654094,0.3767663,13
18,0.291748,0.07659417,0.764178,0.3845879,13
18,0.3055649,0.07527184,0.7639949,0.3896596,13
18,0.3198776,0.07418102,0.7635332,0.3952231,13
18,0.333519,0.07392704,0.7625977,0.3998537,13
18,0.3478851,0.07345581,0.7615589,0.404937,13
18,0.3609772,0.07349247,0.7601669,0.4095679,13
18,0.378006,0.07327497,0.758847,0.4146158,13
18,0.3891754,0.07472527,0.7567769,0.4210299,13
18,0.4047165,0.07558608,0.7549941,0.4274591,13
18,0.4191132,0.07610196,0.7534248,0.4338899,13
18,0.4327545,0.07535249,0.7513583,0.4384618,13
18,0.4461823,0.07489032,0.7495884,0.4434926,13
18,0.4604874,0.07299435,0.7527976,0.4446127,13
18,0.4734192,0.07163405,0.7548877,0.4467363,13
18,0.4875565,0.07050347,0.7564324,0.4495855,13
18,0.500206,0.07005739,0.7585872,0.4508068,13
18,0.5148392,0.0696364,0.7602713,0.4526526,13
18,0.5282364,0.07065088,0.7593392,0.4549811,13
18,0.5417175,0.07134086,0.7588819,0.4576355,13
18,0.5558167,0.07171077,0.7587972,0.4605493,13
18,0.5695572,0.07288104,0.7579522,0.4650435,13
18,0.5837708,0.07361758,0.7573025,0.4695114,13
18,0.5973969,0.07361758,0.7573025,0.4695114,13
18,0.6113892,0.08165544,0.7505058,0.4862892,13
18,0.625145,0.08179218,0.749391,0.4909083,13
