N,T1,T2,T3,T4,LR,M,E
0,0,0,0,1,R,C,0
1,0,1,0,0,L,B,0
2,0,0,0,1,R,C,0
3,1,0,0,0,L,A,0
4,0,1,0,0,R,A,0
5,1,0,0,0,L,A,0
6,0,0,1,0,R,B,0
7,1,0,0,0,L,A,0
8,0,0,1,0,R,B,0
9,1,0,0,0,L,A,0
10,0,1,0,0,R,A,0
11,0,0,1,0,L,C,0
12,0,0,0,1,R,C,0
13,0,1,0,0,L,B,0
14,1,0,0,0,L,A,0
15,0,0,0,1,R,C,0
16,0,1,0,0,R,A,0
17,0,0,1,0,R,B,0
18,0,1,0,0,L,B,0
19,0,0,1,0,L,C,0
20,0,0,0,1,R,C,0
21,1,0,0,0,L,A,0
22,0,0,1,0,L,C,0
23,0,0,0,1,R,C,0
24,0,1,0,0,L,B,0
25,0,0,1,0,L,C,0
26,0,1,0,0,L,B,0
27,0,0,1,0,R,B,0
28,0,0,1,0,R,B,0
29,1,0,0,0,L,A,0
