N,T1,T2,T3,T4,LR,M,E
0,0,0,1,0,R,B,0
1,0,1,0,0,R,A,1
2,0,1,0,0,R,A,1
3,0,0,0,1,R,C,0
4,0,0,1,0,L,C,1
5,0,1,0,0,L,B,1
6,0,1,0,0,L,B,1
7,0,0,1,0,L,C,1
8,0,0,1,0,L,C,1
9,0,0,1,0,L,C,0
10,0,0,1,0,R,B,1
11,0,0,1,0,L,C,1
12,0,1,0,0,R,A,0
13,1,0,0,0,L,A,1
14,0,1,0,0,R,A,0
15,0,0,1,0,L,C,1
16,1,0,0,0,L,A,1
17,0,1,0,0,R,A,0
18,0,0,1,0,R,B,0
19,0,0,0,1,R,C,0
20,1,0,0,0,L,A,1
21,0,1,0,0,R,A,0
22,0,0,0,1,R,C,0
23,0,1,0,0,R,A,0
24,0,0,1,0,R,B,0
25,0,0,1,0,R,B,0
26,0,0,1,0,R,B,0
27,0,1,0,0,L,B,1
28,0,1,0,0,L,B,1
29,0,0,0,1,R,C,0
