n,t,x,y,z,m
6,0,0.09649765,0.7512954,0.2247217,4
6,0.01432419,0.09913158,0.744562,0.2491313,4
6,0.02843094,0.100484,0.7403464,0.2720564,4
6,0.04188919,0.1012946,0.737309,0.2876484,4
6,0.06048203,0.1009239,0.7370864,0.3093703,4
6,0.07001877,0.100794,0.7364873,0.3244657,4
6,0.08570862,0.1007119,0.7357645,0.3364534,4
6,0.09896088,0.1004221,0.7368519,0.3536766,4
6,0.1127281,0.100024,0.737565,0.3671782,4
6,0.1264153,0.1005399,0.7395348,0.379908,4
6,0.1396523,0.1009402,0.7404703,0.3916827,4
6,0.1541328,0.1013765,0.740797,0.4031377,4
6,0.1701546,0.1013765,0.740797,0.4031377,4
6,0.1816292,0.1010364,0.7512673,0.4116779,4
6,0.1951294,0.1025215,0.7530494,0.4131816,4
6,0.2094498,0.1026742,0.7552346,0.4163679,4
6,0.2235527,0.1035451,0.7540983,0.4204797,4
6,0.2357864,0.1038203,0.7554404,0.4247786,4
6,0.2503319,0.1038203,0.7554404,0.4247786,4
6,0.2637558,0.1039252,0.7573254,0.4299418,4
6,0.2773628,0.1054879,0.753958,0.4347759,4
6,0.291851,0.108603,0.7517117,0.4435527,4
6,0.3056145,0.108603,0.7517117,0.4435527,4
6,0.3195267,0.1098246,0.7514036,0.4540367,4
6,0.3333817,0.1098246,0.7514036,0.4540367,4
6,0.3475685,0.1093776,0.7513096,0.4664121,4
6,0.3610191,0.109669,0.7481496,0.4733621,4
6,0.3757019,0.1099386,0.7455473,0.480108,4
6,0.3893738,0.1049485,0.74608,0.4811875,4
6,0.4027901,0.102783,0.7451404,0.4835455,4
6,0.4165573,0.102783,0.7451404,0.4835455,4
6,0.4309158,0.09981972,0.7451477,0.4865783,4
6,0.4448395,0.09981972,0.7451477,0.4865783,4
6,0.4585457,0.09870911,0.7476563,0.4863343,4
6,0.4745026,0.09863389,0.7487304,0.4859608,4
6,0.4868889,0.09877253,0.7492785,0.4860744,4
6,0.500164,0.09877253,0.7492785,0.4860744,4
6,0.5152817,0.1006135,0.7530005,0.483613,4
6,0.5287971,0.102071,0.7548232,0.4821549,4
6,0.5420036,0.103456,0.7565942,0.4809387,4
6,0.5555344,0.1047496,0.7582695,0.4800016,4
6,0.5698738,0.1047496,0.7582695,0.4800016,4
6,0.5847359,0.1070229,0.7604281,0.4784591,4
6,0.5972061,0.1094427,0.7596827,0.4794818,4
6,0.6113129,0.1118917,0.7589866,0.4806722,4
6,0.6252365,0.11453,0.7563693,0.4828873,4
