n,t,x,y,z,m
15,0,0.09523737,0.7489367,0.2329266,27
15,0.01423645,0.0934276,0.7509785,0.2402734,27
15,0.02810669,0.09209251,0.7504544,0.2569735,27
15,0.04218292,0.09090602,0.7496487,0.2696016,27
15,0.05541229,0.08986461,0.7489451,0.2793079,27
15,0.06919479,0.08816618,0.7460922,0.2986938,27
15,0.08325195,0.08677977,0.7442716,0.3128529,27
15,0.09656906,0.08749574,0.7428546,0.333356,27
15,0.110817,0.08752632,0.741851,0.3485375,27
15,0.1242943,0.08725339,0.7409912,0.3611118,27
15,0.1388855,0.08474821,0.7414109,0.3728432,27
15,0.1520653,0.08309495,0.7413683,0.3839331,27
15,0.1658745,0.08202195,0.7454386,0.3918628,27
15,0.1795349,0.08126289,0.7477452,0.4008006,27
15,0.1931496,0.07970273,0.7533156,0.4029892,27
15,0.2073479,0.07857227,0.7571485,0.4077445,27
15,0.2208862,0.07758665,0.7601916,0.4140197,27
15,0.2344437,0.07904583,0.7599002,0.4219594,27
15,0.2484016,0.0801006,0.7599773,0.4303524,27
15,0.2622223,0.07975692,0.7572268,0.4360007,27
15,0.2760429,0.07947773,0.7551526,0.4425089,27
15,0.2923584,0.07974541,0.7520329,0.4515111,27
15,0.3043098,0.07973421,0.7494632,0.4604945,27
15,0.3169632,0.07959664,0.7473378,0.4693346,27
15,0.3309021,0.07896811,0.7474197,0.4763393,27
15,0.34552,0.07837552,0.7473141,0.4836341,27
