n,t,x,y,z,m
3,0,0.004225791,0.7744982,0.1944826,18
3,0.01364517,0.004572749,0.7785381,0.1962751,18
3,0.02788162,0.002669632,0.7834159,0.198728,18
3,0.04249573,0.001435757,0.7877727,0.2008767,18
3,0.05551529,0.0004534125,0.7916101,0.2038613,18
3,0.06907272,-0.0001514554,0.7952268,0.206445,18
3,0.08302307,-0.0005765557,0.7986582,0.208735,18
3,0.09706497,-0.000856936,0.8023371,0.2122231,18
3,0.1107979,-0.001130342,0.805898,0.2153115,18
3,0.1245193,-0.001024127,0.808991,0.2194909,18
3,0.1386375,-0.001050115,0.8121923,0.2231732,18
3,0.152462,-0.002037108,0.8165699,0.2266546,18
3,0.1660309,-0.00289911,0.8207076,0.2298592,18
3,0.1800232,-0.003680825,0.8246605,0.2328562,18
3,0.1944008,-0.004843116,0.8278833,0.2355006,18
3,0.2077751,-0.005847871,0.8312823,0.2380874,18
3,0.222084,-0.00659591,0.834336,0.2406811,18
3,0.235775,-0.007304132,0.8375099,0.2432531,18
3,0.2502861,-0.007993698,0.8407761,0.2458278,18
3,0.2634506,-0.008693457,0.8433365,0.2486093,18
3,0.2774658,-0.009381533,0.8460871,0.2513607,18
3,0.2918167,-0.01026231,0.8480399,0.2548843,18
3,0.3051147,-0.0111168,0.8503336,0.2582617,18
3,0.3189545,-0.01254934,0.8528654,0.2621032,18
3,0.3336945,-0.01384687,0.8555635,0.265754,18
3,0.3465195,-0.01502073,0.8582953,0.269254,18
3,0.3610001,-0.01570308,0.8596851,0.2737839,18
3,0.3747826,-0.01628232,0.8611879,0.2780286,18
3,0.388958,-0.01655829,0.8613772,0.2835439,18
3,0.4028358,-0.01694787,0.8620309,0.2885769,18
3,0.4167328,-0.01742971,0.863115,0.293236,18
3,0.4299583,-0.01812875,0.8635674,0.2987147,18
3,0.443985,-0.01883197,0.864512,0.3037646,18
3,0.4591484,-0.02040988,0.8653942,0.3095155,18
3,0.4718208,-0.02166998,0.8664476,0.3148553,18
3,0.4854774,-0.02210546,0.8662668,0.3199179,18
3,0.4997711,-0.02259368,0.8664911,0.3247889,18
3,0.5132523,-0.02311599,0.8669785,0.3295512,18
3,0.5272942,-0.02248991,0.8653219,0.3364774,18
3,0.5414848,-0.02215379,0.864273,0.3429165,18
3,0.5553932,-0.02201188,0.8637191,0.3489152,18
3,0.5692177,-0.02423841,0.8629388,0.3530988,18
3,0.5830765,-0.02609783,0.8621913,0.3574103,18
3,0.5971336,-0.02774602,0.8617731,0.361844,18
3,0.610939,-0.02951515,0.8616929,0.3663307,18
3,0.6250038,-0.03158998,0.8612269,0.368686,18
3,0.6388054,-0.03353447,0.8607693,0.3715344,18
3,0.6527824,-0.03472662,0.8588274,0.3749757,18
3,0.6672974,-0.03597379,0.8570765,0.3787054,18
3,0.6801529,-0.03720933,0.855549,0.3826449,18
3,0.6947212,-0.03595906,0.8525079,0.3891543,18
3,0.7079926,-0.03530878,0.8501701,0.3952964,18
3,0.7220764,-0.03386754,0.8452654,0.4037007,18
3,0.7359886,-0.03296191,0.8413612,0.4111458,18
3,0.7494392,-0.03239644,0.8381686,0.4178201,18
3,0.7638931,-0.03103584,0.8299598,0.4274797,18
3,0.7775726,-0.03012562,0.8236538,0.435754,18
3,0.7919731,-0.02841425,0.8152614,0.4424056,18
3,0.8052483,-0.02730161,0.8088196,0.4486407,18
3,0.8195305,-0.02648592,0.8033797,0.4546767,18
3,0.8333321,-0.02717823,0.7993705,0.4577093,18
3,0.8468018,-0.02762204,0.7954835,0.4613643,18
3,0.8612404,-0.02858347,0.7926787,0.4626077,18
3,0.8759384,-0.02920616,0.7893921,0.4646625,18
3,0.8922615,-0.02904701,0.7879322,0.4656554,18
3,0.9029121,-0.0290795,0.7855919,0.4672369,18
3,0.91819,-0.0292027,0.782739,0.4693281,18
3,0.932106,-0.02904439,0.7813181,0.4711486,18
3,0.9453468,-0.02891248,0.7790874,0.4734013,18
3,0.9596901,-0.02668709,0.774712,0.4782339,18
3,0.9730759,-0.0248695,0.7701059,0.4831287,18
3,0.9868164,-0.02341753,0.7656617,0.487796,18
