n,t,x,y,z,m
1,0,0.006845117,0.772872,0.1903594,26
1,0.01483059,0.007489443,0.7770686,0.1929911,26
1,0.02873802,0.008199215,0.7808293,0.1954134,26
1,0.04314995,0.008934975,0.7841982,0.1975487,26
1,0.05629063,0.008857548,0.7897199,0.2014368,26
1,0.06984997,0.009117246,0.7946299,0.2047972,26
1,0.08388519,0.008651793,0.7998884,0.2099445,26
1,0.09784126,0.008501709,0.8045664,0.214173,26
1,0.1119146,0.008495986,0.8087796,0.2177277,26
1,0.1262102,0.008195817,0.8137179,0.2218487,26
1,0.1405363,0.008051455,0.8182387,0.2254606,26
1,0.1535139,0.007754385,0.8221903,0.2292967,26
1,0.1665506,0.007545352,0.8260869,0.2327724,26
1,0.1810207,0.007389069,0.8299449,0.2360326,26
1,0.1952724,0.007880569,0.8338062,0.2395459,26
1,0.2090435,0.008365035,0.8382361,0.2427111,26
1,0.2226381,0.01001328,0.8402199,0.2471507,26
1,0.2366686,0.01113743,0.8426619,0.2512536,26
1,0.2512836,0.01190537,0.8430834,0.2565805,26
1,0.2642841,0.01250857,0.8443139,0.2614563,26
1,0.278142,0.01301992,0.8460044,0.2660185,26
1,0.2922392,0.01391441,0.847493,0.271297,26
1,0.3055258,0.01469415,0.8492732,0.2762466,26
1,0.3199625,0.01577222,0.8489541,0.2835547,26
1,0.3339558,0.01665938,0.849376,0.2900695,26
1,0.3474255,0.01739132,0.8502257,0.2959964,26
1,0.3614826,0.01661468,0.8512056,0.3011513,26
1,0.3754578,0.01624686,0.8523469,0.3061712,26
1,0.3893728,0.01652169,0.8520319,0.3118425,26
1,0.4029388,0.01699317,0.8521243,0.3173524,26
1,0.4177017,0.01628464,0.8522087,0.3210586,26
1,0.4311094,0.01586103,0.8526479,0.3249973,26
1,0.4444828,0.01557046,0.8533894,0.3291229,26
1,0.459568,0.01742315,0.8510287,0.3350252,26
1,0.472476,0.01892501,0.8496509,0.3407048,26
1,0.4865694,0.02017403,0.8488851,0.3462132,26
1,0.5007,0.02089614,0.8471478,0.3531184,26
1,0.5143318,0.0217188,0.8460656,0.3595467,26
1,0.5281801,0.02210075,0.8449001,0.3671656,26
1,0.5419874,0.02262849,0.8440056,0.3741442,26
1,0.5567226,0.02226609,0.8425604,0.3809317,26
1,0.5700197,0.02223349,0.8414397,0.3873294,26
1,0.5835924,0.02239877,0.8405092,0.3934712,26
1,0.5980816,0.02234131,0.8393238,0.4001975,26
1,0.6119165,0.02240801,0.838344,0.4066486,26
1,0.6258774,0.02140874,0.8369783,0.4104459,26
1,0.6395721,0.02076232,0.8357664,0.4147485,26
1,0.6570272,0.0216639,0.8335177,0.4190436,26
1,0.6682463,0.02233279,0.831519,0.4237273,26
1,0.6825562,0.02285886,0.8296598,0.4286761,26
1,0.6968746,0.02277517,0.8273323,0.4328135,26
1,0.7103348,0.02275175,0.8252146,0.4372451,26
1,0.7242613,0.02199703,0.8223324,0.4412656,26
1,0.7379208,0.02143842,0.8196589,0.4455741,26
1,0.7511578,0.0210138,0.8171138,0.4501022,26
1,0.7648888,0.01939601,0.8151135,0.4534914,26
1,0.7786722,0.01818901,0.8131102,0.4571945,26
1,0.7926874,0.01802659,0.8086651,0.4607422,26
1,0.8060303,0.0177905,0.8049985,0.4644311,26
1,0.8203392,0.01863116,0.7993804,0.4673533,26
1,0.8340168,0.01899016,0.795206,0.4703343,26
1,0.8474741,0.02070904,0.7908008,0.47378,26
1,0.861599,0.02185506,0.787079,0.477345,26
1,0.8760147,0.02270287,0.7836992,0.4810239,26
1,0.8898325,0.02314347,0.780902,0.4837621,26
1,0.9030323,0.0236783,0.7779453,0.4867002,26
1,0.916975,0.02422816,0.7749099,0.4897886,26
1,0.931469,0.02422518,0.774111,0.4911502,26
1,0.9447947,0.02440989,0.7724188,0.4928762,26
1,0.959199,0.02373236,0.7719494,0.4932142,26
1,0.9727449,0.0233205,0.7706947,0.4939683,26
1,0.986599,0.02354813,0.769951,0.4943287,26
