n,t,x,y,z,m
10,0,0.1969049,0.7708547,0.2475603,14
10,0.01420212,0.1961126,0.7742729,0.2502981,14
10,0.02809525,0.1955284,0.7774982,0.2529681,14
10,0.04181671,0.1945754,0.7812961,0.2580659,14
10,0.05617142,0.193844,0.7846251,0.2624453,14
10,0.07440186,0.1932709,0.7875057,0.2661299,14
10,0.08343887,0.193833,0.7910198,0.2732024,14
10,0.09726334,0.1941763,0.7940996,0.2789702,14
10,0.1115685,0.1943997,0.7975776,0.2873979,14
10,0.125042,0.1945381,0.800599,0.2941697,14
10,0.1392899,0.1954439,0.8028666,0.3024944,14
10,0.153141,0.1960976,0.8052,0.3094286,14
10,0.167675,0.196587,0.8075415,0.3155061,14
10,0.1805382,0.1966302,0.809476,0.3230523,14
10,0.1944885,0.1966872,0.8116117,0.3297602,14
10,0.2089767,0.1948063,0.8121116,0.3363141,14
10,0.22229,0.1934904,0.8131394,0.3425188,14
10,0.2366905,0.1936395,0.8114414,0.3521405,14
10,0.2501335,0.1936632,0.8108147,0.360751,14
10,0.2639809,0.1936404,0.8108298,0.3686548,14
10,0.2817574,0.1932434,0.8128061,0.3727523,14
10,0.2918015,0.1930021,0.8143767,0.3775837,14
10,0.3074799,0.1927285,0.8135715,0.385121,14
10,0.3214111,0.1926919,0.8130435,0.3926693,14
10,0.3346367,0.1929309,0.8123143,0.4001234,14
10,0.3488998,0.192361,0.8121883,0.4049439,14
10,0.3620262,0.1922854,0.8120285,0.4103439,14
10,0.3768768,0.1915937,0.8138791,0.4153346,14
10,0.3895264,0.1911645,0.8153993,0.420781,14
10,0.4028244,0.190928,0.8166571,0.4265188,14
10,0.4170113,0.1921209,0.8143317,0.4357425,14
10,0.4304695,0.1928551,0.8128813,0.4442056,14
10,0.4444809,0.1928282,0.8115132,0.4504274,14
10,0.4583054,0.1928105,0.8104796,0.4565609,14
10,0.4724236,0.1933637,0.8085128,0.4627117,14
10,0.4857979,0.1936315,0.8069361,0.4687713,14
10,0.4997978,0.1937014,0.8056382,0.4747878,14
10,0.5140305,0.1946317,0.8000217,0.4842752,14
10,0.527729,0.1947336,0.7962964,0.4928009,14
10,0.5416336,0.1931741,0.7915722,0.495546,14
10,0.5554199,0.1923129,0.7883081,0.4993053,14
10,0.5695267,0.191745,0.7856104,0.5036321,14
10,0.5838509,0.1917406,0.7839585,0.5072927,14
10,0.5971107,0.1919146,0.7819921,0.5113279,14
10,0.611351,0.189245,0.7830929,0.5118106,14
10,0.6248169,0.1884899,0.7827389,0.5130609,14
10,0.6392403,0.1882898,0.7818924,0.5149173,14
10,0.6525345,0.1859895,0.7828259,0.5150092,14
10,0.6663589,0.1853039,0.7823035,0.5154027,14
10,0.6810684,0.1847362,0.7831458,0.5171316,14
10,0.6941071,0.1848558,0.7824229,0.5189843,14
10,0.7086372,0.1865321,0.7806255,0.5218728,14
10,0.7219353,0.1876422,0.7783602,0.524919,14
10,0.7359543,0.18843,0.7760408,0.5280544,14
10,0.7499008,0.1915336,0.7715396,0.5353587,14
10,0.7636032,0.1936238,0.7674986,0.5417773,14
