n,t,x,y,z,m
1,0,0.2005342,0.7725172,0.2553318,11
1,0.01344681,0.2009353,0.7754787,0.2581739,11
1,0.03076935,0.2008913,0.7795162,0.2640098,11
1,0.04164505,0.200889,0.7830975,0.2690396,11
1,0.0549736,0.2009283,0.7862111,0.2733153,11
1,0.06978989,0.2020944,0.7896127,0.2816573,11
1,0.08288002,0.2030129,0.7926035,0.288444,11
1,0.09667587,0.2034813,0.7970873,0.2962162,11
1,0.1106472,0.2038908,0.8009377,0.3026839,11
1,0.1244373,0.2037872,0.8072003,0.3109841,11
1,0.138258,0.2038175,0.8123707,0.3179901,11
1,0.15625,0.2039271,0.8168429,0.3241926,11
1,0.1660118,0.2035071,0.821408,0.3334131,11
1,0.180109,0.2033008,0.8255392,0.3412864,11
1,0.1936512,0.2024742,0.8281441,0.3490345,11
1,0.2083244,0.2019469,0.8309411,0.356065,11
1,0.2211189,0.201593,0.833873,0.3626928,11
1,0.235508,0.2001247,0.8361022,0.3681524,11
1,0.249033,0.1990812,0.8385459,0.3736685,11
1,0.2635937,0.1994753,0.8388648,0.3818576,11
1,0.2766323,0.1996475,0.8397976,0.3894716,11
1,0.2906113,0.1992872,0.8375925,0.3949279,11
1,0.3051739,0.1989447,0.8366913,0.4005234,11
1,0.3186836,0.1986219,0.8365219,0.4062293,11
1,0.3325253,0.1988093,0.8326876,0.4148379,11
1,0.3463497,0.1988474,0.8303145,0.422821,11
1,0.3601494,0.1996874,0.8259532,0.4299917,11
1,0.3740749,0.2004933,0.8224936,0.4369559,11
1,0.387888,0.2012628,0.8197088,0.4438309,11
1,0.4021034,0.202149,0.814653,0.4483604,11
1,0.4164486,0.2028664,0.811064,0.4534608,11
1,0.4298115,0.2037419,0.8079777,0.4569068,11
1,0.4436798,0.2040707,0.8060884,0.4611513,11
1,0.4569302,0.204166,0.8046998,0.4659729,11
1,0.4718914,0.2037625,0.8037257,0.4694316,11
1,0.4853764,0.2036979,0.802062,0.4733426,11
1,0.4989376,0.2027717,0.7986881,0.477159,11
1,0.5129032,0.2032241,0.793483,0.4809049,11
1,0.5269203,0.2032432,0.7880945,0.4876473,11
1,0.5405464,0.2025735,0.7841109,0.4941859,11
1,0.5544739,0.2025624,0.7800063,0.5002056,11
1,0.5695286,0.2029763,0.7769486,0.5025395,11
1,0.5825729,0.2036432,0.7735645,0.5052866,11
1,0.597723,0.2044245,0.7711377,0.5063903,11
1,0.6115208,0.2048948,0.7686709,0.5081165,11
1,0.6257057,0.2052439,0.7660336,0.5102945,11
1,0.6387024,0.2061474,0.7626947,0.5139877,11
1,0.652607,0.2069229,0.7591975,0.5177159,11
1,0.6668396,0.2058797,0.75629,0.5188282,11
1,0.6797981,0.2051404,0.7533391,0.5203438,11
1,0.6935978,0.2049296,0.7523995,0.5225863,11
1,0.7076626,0.2048564,0.7509758,0.5249277,11
1,0.7211857,0.2048829,0.7492154,0.527374,11
1,0.7354794,0.2049392,0.7486923,0.5282137,11
1,0.7490902,0.2049795,0.7478921,0.5293452,11
1,0.7635555,0.205758,0.7474515,0.529763,11
1,0.7763901,0.2064379,0.7467813,0.5303923,11
