n,t,x,y,z,m
23,0,0.2050127,0.7678713,0.262726,30
23,0.01400757,0.2060518,0.7786251,0.2733029,30
23,0.03308868,0.2060518,0.7786251,0.2733029,30
23,0.04130554,0.2033111,0.7866874,0.2788122,30
23,0.05641174,0.2012691,0.7932753,0.2834456,30
23,0.06917572,0.199294,0.8045177,0.294849,30
23,0.08280945,0.1984368,0.8144042,0.3062357,30
23,0.09715271,0.1998795,0.8189539,0.3126426,30
23,0.1109772,0.1998795,0.8189539,0.3126426,30
23,0.1247253,0.2008063,0.8232067,0.3182959,30
23,0.1386414,0.2033151,0.8255454,0.3272,30
23,0.1522827,0.2051589,0.828295,0.3348043,30
23,0.1663361,0.2057235,0.8303287,0.3418747,30
23,0.1804199,0.2057235,0.8303287,0.3418747,30
23,0.194458,0.207153,0.83565,0.3542435,30
23,0.2079163,0.207153,0.83565,0.3542435,30
23,0.2213745,0.2090895,0.8397828,0.3604364,30
23,0.235733,0.2105871,0.8436364,0.366345,30
23,0.2497711,0.2089499,0.8523486,0.3781359,30
23,0.2648315,0.2094356,0.8539343,0.3936569,30
23,0.2776794,0.2094356,0.8539343,0.3936569,30
23,0.2917786,0.2096633,0.8556971,0.4005957,30
23,0.3087921,0.2085044,0.8557334,0.4134614,30
23,0.3190918,0.2075738,0.8560218,0.4202568,30
23,0.3348541,0.2068465,0.8568649,0.4269112,30
23,0.3485718,0.2068465,0.8568649,0.4269112,30
23,0.3619995,0.2071303,0.8531749,0.4424942,30
23,0.3759155,0.2074856,0.8505424,0.4506311,30
23,0.3892365,0.2074856,0.8505424,0.4506311,30
23,0.4029083,0.2085408,0.8462863,0.4649087,30
23,0.4168091,0.2072144,0.8431209,0.4697158,30
23,0.4306641,0.2072144,0.8431209,0.4697158,30
23,0.4440002,0.2053434,0.8396932,0.4801425,30
23,0.4581757,0.2053434,0.8396932,0.4801425,30
23,0.4729919,0.2094074,0.8288001,0.4934098,30
23,0.4854126,0.208796,0.823586,0.4970728,30
23,0.5000763,0.208796,0.823586,0.4970728,30
23,0.5134735,0.2081696,0.8195171,0.5010247,30
23,0.5274353,0.2075606,0.816038,0.5053214,30
23,0.5411224,0.2055462,0.8141115,0.5062926,30
23,0.5549927,0.2041913,0.8120049,0.5081421,30
23,0.5692902,0.2048352,0.8035138,0.5143135,30
23,0.5824738,0.2021629,0.7999111,0.5157791,30
23,0.5971069,0.2021629,0.7999111,0.5157791,30
23,0.6108093,0.2004587,0.7963849,0.5178705,30
23,0.6247101,0.1992064,0.7929199,0.5203804,30
23,0.6382751,0.1999766,0.7900959,0.5226879,30
23,0.6522675,0.2001988,0.7867534,0.5252609,30
23,0.6664734,0.2059929,0.7735689,0.5384282,30
23,0.6812439,0.2079396,0.7679948,0.5440888,30
