n,t,x,y,z,m
17,0,0.1976637,0.7820165,0.2537202,19
17,0.01451111,0.1999741,0.7978888,0.2568125,19
17,0.0286026,0.2023968,0.8092877,0.2596106,19
17,0.04221344,0.2040139,0.825173,0.2654654,19
17,0.05647278,0.2045178,0.8403049,0.2680241,19
17,0.07015228,0.205247,0.8529336,0.2695358,19
17,0.08391571,0.2029905,0.8716545,0.2684458,19
17,0.0978241,0.2025287,0.8856214,0.2684002,19
17,0.1124802,0.2008581,0.8988346,0.2721128,19
17,0.1259079,0.2002753,0.9105681,0.2747659,19
17,0.1390839,0.1991602,0.9212084,0.2773207,19
17,0.1534958,0.1987026,0.9314008,0.2795507,19
17,0.1670227,0.1986581,0.9415423,0.2815448,19
17,0.181282,0.1977499,0.9501255,0.2854759,19
17,0.1947784,0.1971675,0.9591345,0.2886851,19
17,0.2085724,0.1990784,0.964485,0.2963684,19
17,0.22229,0.2001252,0.9714277,0.3021568,19
17,0.236557,0.200225,0.9750431,0.3095398,19
17,0.2510986,0.2003262,0.980392,0.3154264,19
17,0.2641068,0.1987641,0.9816932,0.3229935,19
17,0.2776413,0.1975127,0.9845132,0.3295839,19
17,0.2922821,0.196391,0.9883859,0.3354777,19
17,0.3058701,0.19606,0.9872404,0.3464593,19
17,0.3208542,0.195152,0.9876057,0.3559836,19
17,0.333725,0.1944219,0.9892603,0.3642843,19
17,0.3476944,0.1929488,0.9864148,0.3742551,19
17,0.3612595,0.1916975,0.9853391,0.3832667,19
17,0.3753586,0.1935348,0.9768888,0.3960955,19
17,0.3896408,0.1943054,0.9699271,0.4084728,19
17,0.4029617,0.1949978,0.966073,0.4188282,19
17,0.4174194,0.1992127,0.9575993,0.4315155,19
17,0.430809,0.1989671,0.9466476,0.4399078,19
17,0.4445724,0.199576,0.9364427,0.4494331,19
17,0.4588089,0.2001138,0.9287838,0.4581572,19
17,0.472847,0.2003891,0.923575,0.4660146,19
17,0.4870148,0.1992526,0.9121106,0.4735659,19
17,0.5001602,0.1989341,0.90139,0.4816493,19
17,0.5148544,0.1986743,0.8899575,0.4854435,19
17,0.5295105,0.1984449,0.8810593,0.4897011,19
17,0.5418549,0.1970194,0.8755546,0.4921736,19
17,0.5560226,0.1956897,0.8705653,0.4955288,19
17,0.5699692,0.1969355,0.8633271,0.4997395,19
17,0.5836029,0.1986223,0.854712,0.5048481,19
17,0.5977631,0.1988258,0.8490855,0.50941,19
17,0.6116486,0.1993325,0.8439161,0.5122972,19
17,0.6259079,0.1996843,0.8387372,0.515649,19
17,0.6391907,0.200684,0.833776,0.5178819,19
17,0.6538544,0.2017183,0.8280338,0.5206899,19
17,0.6673508,0.2026549,0.8244514,0.5222445,19
17,0.6808777,0.2034515,0.8206555,0.5242169,19
17,0.6950684,0.2042622,0.8162808,0.5265499,19
17,0.7087326,0.2046671,0.811437,0.5283755,19
17,0.7227554,0.2051806,0.8061208,0.5305151,19
17,0.7377548,0.2057064,0.8024194,0.5330698,19
17,0.7506409,0.2063215,0.7982599,0.5357597,19
17,0.7642059,0.2069701,0.7938471,0.5385054,19
17,0.7783432,0.2078549,0.7894332,0.5399372,19
17,0.7927094,0.208624,0.784739,0.5416209,19
17,0.8062515,0.2090972,0.7777523,0.542317,19
17,0.8197327,0.2093894,0.7704726,0.5426695,19
17,0.8337708,0.2095861,0.7634936,0.5428811,19
17,0.8476257,0.2097149,0.7606875,0.5423654,19
