n,t,x,y,z,m
24,0,0.2007344,0.7516688,0.2689351,22
24,0.01480103,0.2001702,0.7511836,0.2697556,22
24,0.02868652,0.1996155,0.7506891,0.2706262,22
24,0.04249573,0.1990899,0.7502012,0.2715187,22
24,0.05595398,0.1990899,0.7502012,0.2715187,22
24,0.06999207,0.1985407,0.7498759,0.272225,22
24,0.08392334,0.1980502,0.7495222,0.2729155,22
24,0.1016693,0.1967974,0.7498614,0.2730998,22
24,0.1115112,0.1946181,0.7501034,0.2734039,22
24,0.1265564,0.1936222,0.7500773,0.2735585,22
24,0.1390533,0.192444,0.7489959,0.2744509,22
24,0.1561279,0.1912281,0.7479901,0.275486,22
24,0.1669006,0.1900203,0.7470526,0.2765713,22
24,0.1827545,0.187367,0.7467344,0.2777524,22
24,0.1966858,0.1849006,0.7464105,0.2789336,22
24,0.2103119,0.1826307,0.7460869,0.280071,22
24,0.2235107,0.1797348,0.7457274,0.2817059,22
24,0.2368622,0.1771116,0.7453734,0.2832416,22
24,0.250946,0.1753871,0.7457809,0.2870383,22
24,0.2646027,0.1737481,0.7459782,0.2904981,22
24,0.2785187,0.1735747,0.7461514,0.2975497,22
24,0.2923889,0.1731527,0.7461921,0.3036344,22
24,0.3058014,0.1725703,0.7461942,0.3087692,22
24,0.3194275,0.1755899,0.743689,0.3197768,22
24,0.3347473,0.1775207,0.7418454,0.3285861,22
24,0.3477173,0.1789561,0.7407042,0.3386409,22
24,0.3610229,0.1801885,0.7396567,0.3468063,22
24,0.3756409,0.1812405,0.7386838,0.3538214,22
24,0.3890686,0.1777815,0.7422978,0.3568024,22
24,0.4027557,0.1753042,0.7446278,0.36036,22
24,0.4169006,0.1723895,0.7480334,0.3627878,22
24,0.4307251,0.1723895,0.7480334,0.3627878,22
24,0.4444275,0.1697074,0.7508534,0.3657982,22
24,0.4586639,0.1697074,0.7508534,0.3657982,22
24,0.4726868,0.1650214,0.7559988,0.3671768,22
24,0.4862671,0.1609141,0.7603781,0.3693322,22
24,0.4997864,0.1546708,0.765696,0.3784863,22
24,0.5144501,0.1523506,0.7672848,0.3845743,22
24,0.527771,0.1481132,0.7698874,0.3973037,22
24,0.543045,0.1481132,0.7698874,0.3973037,22
24,0.5555878,0.1459865,0.7714003,0.4029622,22
24,0.5696411,0.1429377,0.7715947,0.4086484,22
24,0.5839386,0.1429377,0.7715947,0.4086484,22
24,0.5973969,0.1372638,0.7703741,0.4300613,22
24,0.6114502,0.1371285,0.7706282,0.4379649,22
24,0.6253204,0.136131,0.7711475,0.4450326,22
24,0.6386261,0.1348242,0.7717285,0.4516417,22
24,0.6530762,0.1328582,0.7726306,0.4570962,22
24,0.666748,0.1309981,0.773416,0.4626587,22
24,0.6806488,0.1307201,0.7729522,0.4689067,22
24,0.6947021,0.1299594,0.7728027,0.4750554,22
24,0.7089233,0.1299594,0.7728027,0.4750554,22
24,0.722702,0.127554,0.7707933,0.4865994,22
24,0.7358551,0.1261281,0.7694619,0.4921902,22
24,0.7514496,0.1261281,0.7694619,0.4921902,22
24,0.7639923,0.1231052,0.7664492,0.5015483,22
24,0.7779846,0.1231052,0.7664492,0.5015483,22
24,0.791748,0.1223008,0.7648716,0.5050933,22
24,0.8055115,0.1213494,0.7636832,0.509125,22
24,0.8198242,0.1202895,0.7627112,0.5135341,22
24,0.8335266,0.117444,0.7636511,0.5187277,22
24,0.8476868,0.1174731,0.7637467,0.5203039,22
24,0.8610382,0.1172255,0.7637931,0.5224215,22
24,0.8755951,0.1167831,0.7638201,0.5249893,22
24,0.8892517,0.1185306,0.760416,0.52981,22
24,0.9028168,0.1196181,0.75772,0.5346945,22
