n,t,x,y,z,m
37,0,0.03896129,0.4301318,0.3245128,19
37,0.01446533,0.03836507,0.4320914,0.3285042,19
37,0.02914429,0.03803223,0.433844,0.3322597,19
37,0.04214478,0.03632349,0.4369776,0.3353037,19
37,0.05645752,0.03513652,0.4395796,0.3383666,19
37,0.07019043,0.03480768,0.4417467,0.3429487,19
37,0.08401489,0.03471595,0.4436924,0.3474013,19
37,0.09793091,0.03376746,0.4481248,0.3510485,19
37,0.1116638,0.03354722,0.4513751,0.3549502,19
37,0.1262207,0.03363729,0.4540285,0.3588635,19
37,0.1394043,0.03389668,0.4564909,0.3656588,19
37,0.1534729,0.03433263,0.4585912,0.3719197,19
37,0.1695862,0.03503299,0.4607618,0.3800719,19
37,0.1817017,0.03550923,0.4628951,0.3869532,19
37,0.1949768,0.03588426,0.4649973,0.3929636,19
37,0.2086792,0.03425974,0.4654189,0.4023806,19
37,0.2221069,0.03318572,0.4665389,0.4104192,19
37,0.2364502,0.03138453,0.465326,0.4188042,19
37,0.2502747,0.030128,0.4654069,0.4262491,19
37,0.2645874,0.02806306,0.4677518,0.4307131,19
37,0.2779846,0.02657813,0.4695085,0.4354135,19
37,0.292511,0.02536416,0.470961,0.4402387,19
37,0.3063049,0.02551538,0.471752,0.4457988,19
37,0.3196411,0.02504021,0.4726719,0.4507822,19
37,0.3338318,0.02316278,0.4716258,0.4547674,19
37,0.3477478,0.02153283,0.4710163,0.4587904,19
37,0.3617554,0.02008986,0.470638,0.4629092,19
37,0.3781738,0.01825041,0.4685231,0.4683477,19
37,0.38974,0.01635939,0.4675006,0.4731982,19
37,0.4029541,0.01666445,0.4640068,0.4810187,19
37,0.4165344,0.01661438,0.4617916,0.488039,19
37,0.4311829,0.01665771,0.459459,0.4950686,19
37,0.4447021,0.01645887,0.4580709,0.5016943,19
37,0.4587097,0.0161038,0.4572033,0.5080836,19
37,0.4729004,0.01576406,0.4562938,0.5158226,19
37,0.4863892,0.01526564,0.4555611,0.5231555,19
37,0.5005188,0.01575798,0.456771,0.5284619,19
37,0.514679,0.0157516,0.4574975,0.5338105,19
37,0.5288086,0.01548308,0.4580102,0.5393342,19
37,0.5457153,0.01463354,0.4594394,0.5419765,19
37,0.5562439,0.01390338,0.460273,0.5452846,19
37,0.5696411,0.01430792,0.4584429,0.5481815,19
37,0.5854797,0.01419681,0.4574407,0.5512268,19
37,0.597229,0.01477814,0.4527593,0.5551005,19
37,0.6105957,0.01492441,0.4496094,0.5588946,19
37,0.625061,0.01487845,0.4472027,0.5626608,19
37,0.6384888,0.01517606,0.4421349,0.5666654,19
37,0.65271,0.0154258,0.4384497,0.5706621,19
37,0.666687,0.01561373,0.4346391,0.5714519,19
37,0.6804199,0.01588595,0.4313201,0.5723113,19
37,0.6947021,0.01637453,0.4269848,0.5713058,19
37,0.7085876,0.01683879,0.4236016,0.5710019,19
37,0.7222595,0.01729476,0.420753,0.5709966,19
37,0.7364197,0.01864237,0.4177615,0.5744005,19
37,0.7501831,0.01939726,0.4151572,0.5773758,19
37,0.7645264,0.02129924,0.4101112,0.5827334,19
