n,t,x,y,z,m
14,0,-0.03613502,0.8205108,-0.1297642,18
14,0.01431274,-0.03611135,0.8219374,-0.1305403,18
14,0.0280304,-0.03577322,0.8240283,-0.1316372,18
14,0.04237366,-0.03451651,0.8239226,-0.1305092,18
14,0.05645752,-0.03354955,0.8254585,-0.1305123,18
14,0.07011414,-0.03266615,0.8275679,-0.1309609,18
14,0.08374023,-0.03127086,0.8267251,-0.1292457,18
14,0.09776306,-0.03001934,0.8278233,-0.1286716,18
14,0.111557,-0.0293237,0.8278246,-0.1273361,18
14,0.125473,-0.02851844,0.8295034,-0.1266907,18
14,0.1392365,-0.02843982,0.8301439,-0.125462,18
14,0.1536102,-0.02806616,0.8316508,-0.1246091,18
14,0.168808,-0.02751422,0.8334644,-0.1239547,18
14,0.1807556,-0.02827173,0.8355209,-0.1232673,18
14,0.1944733,-0.02860421,0.8375839,-0.1225667,18
14,0.2082672,-0.03082246,0.8397751,-0.1218971,18
14,0.2225952,-0.03238595,0.8420031,-0.1211641,18
14,0.2364349,-0.03352493,0.8441877,-0.1204541,18
14,0.250351,-0.03607732,0.847207,-0.1192641,18
14,0.2641144,-0.03809416,0.8500939,-0.1181328,18
14,0.2777863,-0.04172915,0.8550395,-0.1171807,18
14,0.2920837,-0.04467124,0.8595981,-0.1162314,18
14,0.3058014,-0.04866117,0.8655778,-0.1160004,18
14,0.320282,-0.05190939,0.8709449,-0.1156414,18
14,0.3340912,-0.05461609,0.8758218,-0.1152101,18
14,0.3473206,-0.05749559,0.881855,-0.115266,18
14,0.3612823,-0.06010371,0.8872258,-0.1151958,18
14,0.3768768,-0.06488478,0.8931663,-0.1159756,18
14,0.3895416,-0.06888765,0.8985271,-0.1164301,18
14,0.4026794,-0.07238322,0.9034655,-0.1166865,18
14,0.4168091,-0.07543421,0.9076723,-0.1178934,18
14,0.4306946,-0.0783537,0.911828,-0.118809,18
14,0.4442139,-0.08209026,0.9149712,-0.11963,18
14,0.4588776,-0.08553791,0.9182985,-0.1203132,18
14,0.4724884,-0.08709145,0.9190106,-0.1202745,18
14,0.4865875,-0.08906794,0.9203166,-0.1205352,18
14,0.5001984,-0.09127843,0.9220016,-0.1209021,18
14,0.5140686,-0.09397107,0.9206395,-0.120617,18
14,0.5280914,-0.09655792,0.920422,-0.1206679,18
14,0.54216,-0.1015306,0.9203826,-0.1223406,18
14,0.5561218,-0.1059253,0.9209177,-0.1236991,18
14,0.5700836,-0.1100383,0.9218137,-0.1248907,18
14,0.5854645,-0.1153829,0.9228492,-0.1267552,18
14,0.5976257,-0.1199162,0.924037,-0.1281081,18
14,0.6110992,-0.1242684,0.9248725,-0.1299206,18
14,0.625412,-0.1284681,0.9257948,-0.1316545,18
14,0.6391754,-0.1325411,0.9254479,-0.1320631,18
14,0.6533051,-0.1364411,0.9253258,-0.1325596,18
14,0.6665497,-0.1403211,0.9253073,-0.1331644,18
14,0.6807861,-0.1445954,0.9245428,-0.1317475,18
14,0.6948853,-0.1489681,0.923754,-0.1307009,18
14,0.7087097,-0.1539682,0.9197258,-0.1274847,18
14,0.7228394,-0.1587681,0.916106,-0.1249577,18
14,0.7365112,-0.1630191,0.9134533,-0.1229242,18
14,0.7502441,-0.1643568,0.9066713,-0.1179509,18
14,0.7640991,-0.1659148,0.9014353,-0.1141468,18
14,0.7782288,-0.1665992,0.8941993,-0.1071378,18
14,0.7939606,-0.1676373,0.888611,-0.1012134,18
14,0.8057251,-0.1711641,0.8824778,-0.092851,18
14,0.8200531,-0.1743886,0.8767755,-0.08573423,18
14,0.8336334,-0.177295,0.8709801,-0.07972176,18
14,0.8471985,-0.180468,0.8665829,-0.07298614,18
14,0.8617706,-0.1833845,0.8606228,-0.06737117,18
14,0.8752594,-0.1878462,0.8603802,-0.06179078,18
14,0.8895721,-0.1917395,0.8590823,-0.05684559,18
14,0.9030457,-0.1952162,0.8571468,-0.05235417,18
14,0.9168701,-0.1972302,0.859777,-0.04637197,18
14,0.931076,-0.1993398,0.8606488,-0.0409717,18
14,0.9446259,-0.2012389,0.863934,-0.03372025,18
14,0.9590607,-0.2032994,0.8655266,-0.02741569,18
14,0.9726105,-0.2046745,0.8689657,-0.01933047,18
14,0.9867554,-0.2063381,0.8709013,-0.01228058,18
14,1.00238,-0.2081613,0.8719152,-0.005892783,18
14,1.014343,-0.2104812,0.873795,-4.181266E-05,18
14,1.028473,-0.2127707,0.8749443,0.005588621,18
14,1.041809,-0.2118712,0.8717415,0.01760542,18
14,1.056015,-0.2122332,0.869905,0.0274421,18
14,1.069748,-0.2130948,0.8686928,0.03600591,18
14,1.08316,-0.2120557,0.8642731,0.04900953,18
14,1.097763,-0.2119777,0.861094,0.05971467,18
14,1.111496,-0.2104444,0.854864,0.07170662,18
14,1.127396,-0.2096239,0.8501097,0.08190271,18
14,1.139679,-0.2092392,0.8481306,0.08569613,18
14,1.154343,-0.2085792,0.8451854,0.090462,18
14,1.167328,-0.2080288,0.842029,0.09573931,18
14,1.180466,-0.2061474,0.8387139,0.1015956,18
14,1.194763,-0.2048724,0.8350614,0.1072341,18
14,1.209671,-0.2024819,0.8316592,0.1118696,18
14,1.22258,-0.2007688,0.8281475,0.1165815,18
14,1.23616,-0.1994103,0.8247208,0.1214434,18
14,1.249847,-0.1983872,0.8216742,0.1237064,18
