n,t,x,y,z,m
14,0,-0.001721621,0.433244,0.3960913,34
14,0.01430511,-0.001479149,0.4424106,0.4003479,34
14,0.02906799,-0.001062989,0.4501618,0.4038404,34
14,0.04250336,0.0005738735,0.4570442,0.4108513,34
14,0.05593109,0.001998186,0.4633077,0.4164514,34
14,0.07019806,0.003016174,0.4687584,0.4262584,34
14,0.08395386,0.003833413,0.4737477,0.4340846,34
14,0.09780121,0.004698873,0.47599,0.4456013,34
14,0.111824,0.006005228,0.4783461,0.4554628,34
14,0.1269073,0.007178783,0.4812153,0.4635958,34
14,0.1406326,0.005252004,0.4856805,0.4714126,34
14,0.1530151,0.003903568,0.4899181,0.4782924,34
14,0.1680069,0.002933562,0.4920866,0.4867292,34
14,0.181488,0.002657235,0.4931232,0.4953533,34
14,0.1935654,0.002939343,0.4937346,0.5039609,34
14,0.2078247,0.002038479,0.494059,0.5130581,34
14,0.2218323,0.001210809,0.495523,0.5209684,34
14,0.2363052,-0.0006048083,0.4966584,0.5275469,34
14,0.2499924,-0.001891911,0.4978811,0.5341979,34
14,0.2640228,-0.00240767,0.4982681,0.541495,34
14,0.2781448,-0.002863228,0.4952365,0.5494789,34
14,0.2918472,-0.003073573,0.493372,0.557136,34
14,0.3061905,-0.005023479,0.4920386,0.5624233,34
14,0.3191833,-0.00533843,0.4896315,0.5691409,34
14,0.3338242,-0.00684011,0.4876031,0.5762811,34
14,0.3487396,-0.008065999,0.4863131,0.5832843,34
14,0.3611755,-0.009003282,0.485371,0.5902154,34
14,0.3746796,-0.01126969,0.4810538,0.5978131,34
14,0.3888702,-0.01331562,0.4776208,0.6048781,34
14,0.4031906,-0.01501215,0.4709062,0.6111175,34
14,0.4166107,-0.01667756,0.4657239,0.6170994,34
14,0.4308243,-0.01822615,0.4613957,0.6229272,34
14,0.4448242,-0.02054119,0.4554176,0.6287029,34
14,0.4584198,-0.02254426,0.4504905,0.6343859,34
14,0.4729233,-0.02511108,0.4451743,0.6413555,34
14,0.4870605,-0.0272581,0.4408542,0.6480362,34
14,0.5006104,-0.0282045,0.4357461,0.6535311,34
14,0.5142365,-0.02937269,0.4316667,0.6591324,34
14,0.5281906,-0.03065073,0.4278852,0.6647666,34
14,0.5424957,-0.0318985,0.4225571,0.6714177,34
14,0.5571365,-0.03280795,0.4173701,0.67801,34
14,0.5703888,-0.03302121,0.4117512,0.6817714,34
14,0.5834808,-0.03318143,0.4065035,0.6861392,34
14,0.5970764,-0.03329015,0.4013559,0.6909279,34
14,0.611496,-0.03270572,0.3976738,0.6918431,34
14,0.6250229,-0.03219688,0.3938613,0.693755,34
14,0.6391754,-0.03088117,0.3913054,0.693881,34
14,0.6531677,-0.02979702,0.3885155,0.6947163,34
