N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,1,0,0,L,A,L
2,0,1,0,L,B,R
3,0,0,1,R,C,L
4,1,0,0,L,A,L
5,0,1,0,L,B,L
6,0,0,1,R,C,R
7,1,0,0,L,A,R
8,0,1,0,L,B,R
9,1,0,0,L,C,L
10,0,0,1,R,B,R
11,0,1,0,R,A,L
12,1,0,0,L,C,L
13,0,1,0,L,B,L
14,0,0,1,R,C,L
15,1,0,0,L,A,L
16,0,1,0,L,B,L
17,1,0,0,L,C,R
18,0,0,1,R,B,R
19,1,0,0,L,A,R
20,0,1,0,L,B,L
21,0,0,1,R,C,L
22,1,0,0,L,A,R
23,0,1,0,L,B,L
24,0,0,1,R,C,L
25,1,0,0,L,A,R
26,0,0,1,R,B,R
27,0,1,0,R,A,R
28,1,0,0,L,C,R
29,0,1,0,L,B,R
30,1,0,0,L,C,R
31,0,0,1,R,B,R
32,1,0,0,L,A,L
33,0,1,0,L,B,L
34,0,0,1,R,C,L
35,1,0,0,L,A,R
36,0,1,0,L,B,R
37,0,0,1,R,C,L
38,1,0,0,L,A,L
39,0,1,0,L,B,R
