n,t,x,y,z,m
17,0,0.02724928,0.4257666,0.3992966,2
17,0.01506042,0.03069794,0.4314074,0.4021068,2
17,0.02874756,0.03693676,0.4403771,0.4073283,2
17,0.04226685,0.04192859,0.4477873,0.4114105,2
17,0.05621338,0.04602045,0.4539219,0.4146166,2
17,0.06993103,0.05384278,0.4607533,0.4226761,2
17,0.08578491,0.06012982,0.4670261,0.4285676,2
17,0.09741211,0.06836253,0.4733645,0.4380272,2
17,0.1110992,0.07455534,0.4788703,0.4447421,2
17,0.1255493,0.08013505,0.4824502,0.4527695,2
17,0.1388855,0.08494234,0.4857013,0.4590062,2
17,0.1533203,0.08936489,0.4887405,0.4642944,2
17,0.1669312,0.08936489,0.4887405,0.4642944,2
17,0.1804657,0.1002291,0.4903534,0.4805457,2
17,0.1947479,0.1042364,0.4882789,0.4907835,2
17,0.2081451,0.1085278,0.4874772,0.4994948,2
17,0.2223663,0.1131103,0.4875315,0.5072274,2
17,0.2361755,0.1205716,0.4845307,0.5194494,2
17,0.2505341,0.1270743,0.4833135,0.5294819,2
17,0.2640686,0.1286729,0.4834345,0.536672,2
17,0.2773895,0.131352,0.4839944,0.543557,2
17,0.2937012,0.1315575,0.4850886,0.5492892,2
17,0.3058777,0.1333017,0.4862845,0.555455,2
17,0.3194122,0.1359626,0.4875591,0.5619561,2
17,0.333374,0.1359626,0.4875591,0.5619561,2
17,0.3479004,0.1490881,0.4822582,0.588981,2
17,0.3608856,0.1530603,0.4770414,0.5991688,2
17,0.3747711,0.1572775,0.4736921,0.6083131,2
17,0.3893433,0.1613774,0.4718264,0.6169,2
17,0.4027252,0.1652973,0.4644556,0.6276479,2
17,0.4174194,0.1692623,0.4595026,0.6373652,2
17,0.4311371,0.1692783,0.4530962,0.6445401,2
17,0.4448547,0.1703557,0.4487298,0.651893,2
17,0.4582977,0.1719419,0.4454716,0.6593455,2
17,0.472229,0.1717545,0.4409087,0.6653599,2
17,0.4868622,0.1721724,0.4365675,0.6717023,2
17,0.5016479,0.1721724,0.4365675,0.6717023,2
17,0.5140686,0.1712467,0.4243438,0.6812581,2
17,0.5278778,0.1681961,0.4190047,0.6816701,2
17,0.5415955,0.166629,0.4142677,0.6835973,2
17,0.5559845,0.1656958,0.4097295,0.6863638,2
17,0.5694275,0.1627359,0.4066904,0.6869812,2
17,0.5834808,0.1607018,0.4034479,0.688411,2
17,0.5968628,0.1601561,0.3982181,0.69344,2
