N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,R
3,0,1,0,R,A,R
4,0,0,1,R,C,R
5,1,0,0,L,A,L
6,0,0,1,R,B,L
7,0,1,0,R,A,L
8,0,0,1,R,C,L
9,1,0,0,L,A,L
10,0,0,1,R,B,R
11,0,1,0,R,A,R
12,0,0,1,R,C,L
13,1,0,0,L,A,L
14,0,1,0,L,B,L
15,0,0,1,R,C,R
16,0,1,0,R,A,R
17,0,0,1,R,C,L
18,0,1,0,R,A,R
19,0,0,1,R,C,L
20,1,0,0,L,A,L
21,0,0,1,R,B,R
22,0,1,0,R,A,R
23,0,0,1,R,C,L
24,0,1,0,R,A,R
25,0,0,1,R,C,R
26,0,1,0,R,A,R
27,1,0,0,L,C,R
28,0,0,1,R,B,R
29,0,1,0,R,A,L
30,0,0,1,R,C,R
31,1,0,0,L,A,L
32,0,1,0,L,B,L
33,1,0,0,L,C,R
34,0,1,0,L,B,L
35,1,0,0,L,C,L
36,0,0,1,R,B,R
37,0,1,0,R,A,R
38,0,0,1,R,C,L
39,1,0,0,L,A,L
