n,t,x,y,z,m
15,0,-0.05891722,0.8378016,-0.08632238,7
15,0.01417542,-0.05746979,0.841966,-0.08224097,7
15,0.02754211,-0.05623841,0.8451163,-0.07883687,7
15,0.04226685,-0.05609792,0.8503251,-0.07497618,7
15,0.0569458,-0.05573583,0.8541063,-0.07177565,7
15,0.0695343,-0.05518925,0.8570306,-0.06910601,7
15,0.08253479,-0.05398768,0.8600457,-0.06398101,7
15,0.09657288,-0.05293691,0.8630776,-0.06000246,7
15,0.1106873,-0.05318928,0.8631874,-0.05236736,7
15,0.1243439,-0.0531258,0.8646051,-0.04638633,7
15,0.1385651,-0.05284506,0.8666835,-0.04125512,7
15,0.1523132,-0.0536927,0.861794,-0.02870977,7
15,0.1661072,-0.05401587,0.8602798,-0.01913404,7
15,0.1799622,-0.05592883,0.8576577,-0.006698549,7
15,0.1936798,-0.05707866,0.8567952,0.003629357,7
15,0.2077484,-0.0562675,0.8525066,0.01699555,7
15,0.2214966,-0.05565912,0.8501073,0.02832571,7
15,0.2362061,-0.05512923,0.8486103,0.03853089,7
15,0.249588,-0.05518907,0.8465561,0.04822832,7
15,0.2648773,-0.05512911,0.8449317,0.05746856,7
15,0.2777252,-0.05774361,0.8427287,0.06543243,7
15,0.2909088,-0.05943447,0.8409381,0.07352942,7
15,0.305542,-0.06056494,0.8393208,0.08173111,7
15,0.3188324,-0.06393325,0.8390784,0.08946434,7
15,0.3330688,-0.06624258,0.8384594,0.09745625,7
15,0.3461456,-0.06880373,0.8408105,0.102888,7
15,0.360321,-0.0708136,0.8418703,0.1090899,7
15,0.3748016,-0.06981021,0.8422174,0.120401,7
15,0.38797,-0.06978184,0.8419524,0.130419,7
15,0.402771,-0.0701766,0.8413301,0.1396113,7
15,0.4159241,-0.06881756,0.8399177,0.1465863,7
15,0.4299469,-0.06851482,0.8386918,0.1533349,7
15,0.4434814,-0.06879354,0.8364532,0.1579951,7
15,0.4575958,-0.06906271,0.8347342,0.163418,7
15,0.4734802,-0.06932855,0.8332993,0.1694182,7
15,0.4851685,-0.0697304,0.8293822,0.1754683,7
15,0.4996948,-0.0701738,0.8271568,0.1817344,7
15,0.5133667,-0.07106405,0.8231086,0.1874388,7
15,0.5267334,-0.07167864,0.8206878,0.1934657,7
15,0.5416565,-0.07207477,0.815918,0.1993752,7
15,0.5550385,-0.07227558,0.8126051,0.2054735,7
15,0.5689087,-0.07238817,0.8098549,0.211636,7
15,0.5827789,-0.07189405,0.8035497,0.2170135,7
