n,t,x,y,z,m
35,0,0.02005601,0.8444773,0.2110164,31
35,0.01460266,0.01386535,0.8535408,0.2212866,31
35,0.02851868,0.009347498,0.8604673,0.2287442,31
35,0.04266357,0.005863726,0.8660041,0.2344504,31
35,0.05593872,-0.002910078,0.8684952,0.2435462,31
35,0.07032776,-0.009330451,0.8711944,0.2505358,31
35,0.0841217,-0.01999229,0.871634,0.2581912,31
35,0.1026001,-0.02759695,0.873153,0.264865,31
35,0.1136169,-0.03363615,0.8752812,0.2710018,31
35,0.1252289,-0.0388785,0.875108,0.2788013,31
35,0.1388855,-0.04365653,0.8758707,0.2859002,31
35,0.1526642,-0.0522815,0.8784024,0.2949489,31
35,0.1665497,-0.05922621,0.8808988,0.3032191,31
35,0.1806641,-0.06771499,0.8833205,0.3096267,31
35,0.1949768,-0.07469344,0.885519,0.3163739,31
35,0.2085876,-0.08089519,0.8876367,0.3232773,31
35,0.2223969,-0.08777326,0.8900385,0.3308056,31
35,0.2360992,-0.09361303,0.8909441,0.3389447,31
35,0.2554321,-0.09767872,0.8930013,0.3468735,31
35,0.2638702,-0.1024719,0.8955967,0.3544095,31
35,0.278183,-0.1080139,0.8922857,0.3628629,31
35,0.2918701,-0.1132046,0.8894641,0.3711772,31
35,0.3060455,-0.1183922,0.8878698,0.3791755,31
35,0.3214722,-0.1251554,0.8822042,0.3870091,31
35,0.3334503,-0.1317802,0.879567,0.394622,31
35,0.3473511,-0.1360722,0.8755711,0.4007518,31
35,0.3610229,-0.1409305,0.8727517,0.4072212,31
35,0.3757019,-0.1460226,0.8701838,0.4139575,31
35,0.3889313,-0.1514979,0.865787,0.4193868,31
35,0.4084778,-0.1572298,0.8624715,0.4250912,31
35,0.4165497,-0.1615449,0.8568645,0.4309949,31
35,0.430481,-0.166331,0.8522857,0.4367681,31
35,0.4452209,-0.1700953,0.8464857,0.4442141,31
35,0.4584656,-0.1742557,0.8417122,0.4512976,31
35,0.4729156,-0.1785863,0.8375275,0.4581547,31
35,0.4882202,-0.1810834,0.832013,0.4632913,31
35,0.5001984,-0.1841471,0.8272327,0.4688716,31
35,0.5140533,-0.1851748,0.8210275,0.4746555,31
35,0.5293884,-0.1872355,0.8159655,0.480633,31
35,0.5421448,-0.1897688,0.8113066,0.4868388,31
35,0.5618286,-0.1908448,0.8064901,0.4922352,31
