N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,L
2,1,0,0,L,C,L
3,0,0,1,R,B,L
4,0,1,0,R,A,R
5,0,0,1,R,C,R
6,1,0,0,L,A,L
7,0,1,0,L,B,R
8,1,0,0,L,C,R
9,0,0,1,R,B,L
10,0,1,0,R,A,R
11,0,0,1,R,C,R
12,1,0,0,L,A,R
13,0,0,1,R,B,L
14,0,1,0,R,A,L
15,0,0,1,R,C,L
16,1,0,0,L,A,L
17,0,1,0,L,B,L
18,0,0,1,R,C,R
19,1,0,0,L,A,R
20,0,1,0,L,B,L
21,0,0,1,R,C,R
22,1,0,0,L,A,L
23,0,1,0,L,B,R
24,1,0,0,L,C,R
25,0,0,1,R,B,L
26,0,1,0,R,A,R
27,0,0,1,R,C,L
28,1,0,0,L,A,L
29,0,1,0,L,B,L
30,0,0,1,R,C,R
31,1,0,0,L,A,L
32,0,0,1,R,B,L
33,0,1,0,R,A,R
34,0,0,1,R,C,R
35,1,0,0,L,A,R
36,0,1,0,L,B,R
37,1,0,0,L,C,L
38,0,0,1,R,B,L
39,0,1,0,R,A,R
