N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,0,1,0,R,A,R
4,1,0,0,L,C,R
5,0,0,1,R,B,L
6,0,1,0,R,A,R
7,0,0,1,R,C,R
8,0,1,0,R,A,R
9,0,0,1,R,C,L
10,0,1,0,R,A,L
11,0,0,1,R,C,L
12,0,1,0,R,A,R
13,0,0,1,R,C,L
14,0,1,0,R,A,L
15,0,0,1,R,C,L
16,0,1,0,R,A,R
17,0,0,1,R,C,R
18,0,1,0,R,A,L
19,1,0,0,L,C,R
20,0,0,1,R,B,R
21,0,1,0,R,A,L
22,0,0,1,R,C,L
23,0,1,0,R,A,L
24,1,0,0,L,C,R
25,0,0,1,R,B,R
26,0,1,0,R,A,L
27,1,0,0,L,C,L
28,0,0,1,R,B,R
29,0,1,0,R,A,R
30,1,0,0,L,C,R
31,0,0,1,R,B,L
32,0,1,0,R,A,L
33,0,0,1,R,C,L
34,1,0,0,L,A,R
35,0,0,1,R,B,R
36,0,1,0,R,A,R
37,0,0,1,R,C,L
38,0,1,0,R,A,L
39,1,0,0,L,C,R
