n,t,x,y,z,m
12,0,0.02231687,0.3615203,0.2673224,0
12,0.01431274,0.02216268,0.3609828,0.2705056,0
12,0.02868652,0.02199572,0.3604499,0.2732809,0
12,0.04237366,0.02268118,0.3604666,0.2776405,0
12,0.05621338,0.02313459,0.3603838,0.2814226,0
12,0.0696106,0.02357143,0.3619888,0.2866957,0
12,0.08399963,0.02386433,0.3630833,0.291319,0
12,0.09764099,0.02189714,0.3671695,0.2943085,0
12,0.1110687,0.0206151,0.3699327,0.2973948,0
12,0.1256409,0.01969957,0.371927,0.3004445,0
12,0.1408386,0.01791251,0.3756524,0.3035133,0
12,0.1535645,0.01664573,0.378498,0.306713,0
12,0.1666718,0.01409745,0.3830218,0.3088322,0
12,0.1808929,0.01219845,0.3865941,0.3112442,0
12,0.194931,0.01065558,0.3895635,0.3137372,0
12,0.2080994,0.008035362,0.3899608,0.3166494,0
12,0.2224731,0.005880356,0.3910612,0.3193434,0
12,0.2362976,0.003529608,0.3914246,0.3242576,0
12,0.2503204,0.001478672,0.3922803,0.3285628,0
12,0.2642975,-0.0003454685,0.3933543,0.3324909,0
12,0.2780457,-0.002611995,0.3942983,0.337119,0
12,0.2919312,-0.004626334,0.3954588,0.341409,0
12,0.305954,-0.007827044,0.3968879,0.346277,0
12,0.3199615,-0.01059693,0.3984064,0.3508539,0
12,0.3334656,-0.01482582,0.4012946,0.3565205,0
12,0.3494568,-0.01843894,0.4039032,0.3617467,0
12,0.361618,-0.02163845,0.4063081,0.3666416,0
12,0.3748322,-0.02601129,0.4090292,0.3734992,0
12,0.3887634,-0.02981985,0.4115681,0.3796478,0
12,0.4031067,-0.03630674,0.4156133,0.3839638,0
12,0.417511,-0.04152286,0.4189975,0.3885871,0
12,0.4307098,-0.04603547,0.4220911,0.3933734,0
12,0.4447479,-0.05251884,0.4238325,0.396889,0
12,0.4589996,-0.05780083,0.4260594,0.4012085,0
12,0.47229,-0.0620476,0.4246955,0.4084208,0
12,0.4868164,-0.06632763,0.4252193,0.4144859,0
12,0.5000153,-0.07085699,0.4247137,0.4203795,0
12,0.513504,-0.07546771,0.4255513,0.4254461,0
12,0.5276947,-0.08001667,0.426766,0.4302849,0
12,0.5416565,-0.08653086,0.4254452,0.4335384,0
12,0.5572662,-0.09238881,0.4252733,0.4369577,0
12,0.5691681,-0.0968222,0.421128,0.4430096,0
12,0.5832214,-0.1011916,0.4185027,0.4482121,0
12,0.5973816,-0.1049432,0.4147891,0.4534378,0
12,0.6108093,-0.1086875,0.4118144,0.4582998,0
12,0.6252441,-0.1124317,0.4092505,0.4629187,0
12,0.6390381,-0.1154638,0.4063938,0.4682495,0
12,0.6527405,-0.1187046,0.403797,0.4733481,0
12,0.6667786,-0.1195633,0.4004617,0.4787481,0
12,0.6807861,-0.1211951,0.3974683,0.4838559,0
12,0.6949005,-0.1233023,0.3947222,0.4888609,0
12,0.7084045,-0.1251747,0.3894753,0.4920654,0
12,0.7225342,-0.1272691,0.3855432,0.4959342,0
12,0.7364197,-0.1316159,0.3816415,0.4955309,0
12,0.7501984,-0.1350486,0.3784872,0.4971196,0
12,0.766098,-0.1373058,0.3739356,0.5009165,0
12,0.7779388,-0.1394989,0.3696641,0.5050235,0
12,0.7915344,-0.1417599,0.3657424,0.5091603,0
