N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,0,1,R,B,R
2,0,1,0,R,A,R
3,0,0,1,R,C,L
4,0,1,0,R,A,R
5,0,0,1,R,C,R
6,0,1,0,R,A,L
7,1,0,0,L,C,L
8,0,1,0,L,B,L
9,0,0,1,R,C,R
10,0,1,0,R,A,L
11,1,0,0,L,C,R
12,0,1,0,L,B,R
13,0,0,1,R,C,R
14,0,1,0,R,A,R
15,1,0,0,L,C,L
16,0,0,1,R,B,L
17,0,1,0,R,A,L
18,0,0,1,R,C,L
19,1,0,0,L,A,L
20,0,0,1,R,B,L
21,0,1,0,R,A,R
22,1,0,0,L,C,L
23,0,1,0,L,B,R
24,1,0,0,L,C,R
25,0,1,0,L,B,R
26,0,0,1,R,C,R
27,0,1,0,R,A,L
28,0,0,1,R,C,L
29,1,0,0,L,A,L
30,0,0,1,R,B,L
31,1,0,0,L,A,R
32,0,0,1,R,B,L
33,0,1,0,R,A,L
34,0,0,1,R,C,R
35,0,1,0,R,A,L
36,1,0,0,L,C,R
37,0,0,1,R,B,R
38,0,1,0,R,A,R
39,0,0,1,R,C,R
