n,t,x,y,z,m
5,0,0.005662143,0.7935591,0.2312612,10
5,0.01397705,-0.0003653765,0.7981938,0.2368879,10
5,0.02855682,-0.005709887,0.8026862,0.241907,10
5,0.04181671,-0.0103448,0.8069077,0.2463541,10
5,0.0557785,-0.01494455,0.8103749,0.2509485,10
5,0.07098389,-0.01902199,0.8137464,0.2550813,10
5,0.08322144,-0.02267236,0.8158641,0.2602068,10
5,0.09679413,-0.02595627,0.8179408,0.2646308,10
5,0.1107788,-0.02795678,0.8188779,0.2698644,10
5,0.1253433,-0.02996629,0.8199332,0.2743676,10
5,0.1386414,-0.03196925,0.8210548,0.2784454,10
5,0.1524048,-0.03417623,0.8213477,0.2844281,10
5,0.166954,-0.03618503,0.8215152,0.2898,10
5,0.180603,-0.03729177,0.8207959,0.2947733,10
5,0.1942749,-0.03829426,0.8199699,0.2995469,10
5,0.2082138,-0.03927785,0.8192161,0.3040873,10
5,0.2219925,-0.03981453,0.8167754,0.3097817,10
5,0.2360001,-0.04049927,0.8150361,0.3150452,10
5,0.2500305,-0.04158801,0.8176489,0.3177358,10
5,0.2641907,-0.04277998,0.819452,0.3206176,10
5,0.2787552,-0.04462028,0.8225913,0.3218511,10
5,0.2919998,-0.04646587,0.8252873,0.3237175,10
5,0.3055878,-0.04834497,0.8277218,0.326046,10
5,0.3190308,-0.04973799,0.8286594,0.3286305,10
5,0.3335419,-0.05135822,0.8300017,0.331243,10
5,0.3473358,-0.05329162,0.8312904,0.3324122,10
5,0.3613281,-0.05510151,0.8328044,0.3342781,10
5,0.3746185,-0.05685806,0.8343833,0.336498,10
5,0.3887024,-0.05819577,0.8352212,0.3386279,10
5,0.4025955,-0.05945551,0.8361166,0.3411649,10
5,0.4163132,-0.0599516,0.8369359,0.3457946,10
5,0.4310379,-0.06076175,0.8376359,0.3498363,10
5,0.4446182,-0.05990762,0.8371109,0.3566613,10
5,0.4586182,-0.05967748,0.8367778,0.362403,10
5,0.472496,-0.05980313,0.8366578,0.3675394,10
5,0.4876709,-0.05834311,0.8357756,0.3745919,10
5,0.5005188,-0.05752778,0.8352733,0.3806767,10
5,0.5134888,-0.05477881,0.8345684,0.3866895,10
5,0.5280685,-0.05269128,0.8339787,0.3920461,10
5,0.5416183,-0.05099195,0.8334607,0.397017,10
5,0.5551758,-0.04821348,0.8322726,0.4005537,10
5,0.5697784,-0.04580599,0.8312969,0.4042297,10
5,0.5832748,-0.04158783,0.8311207,0.4071353,10
5,0.5970078,-0.03798306,0.8308697,0.4102288,10
5,0.6111679,-0.03300619,0.8313017,0.4121515,10
5,0.6250381,-0.02881187,0.8317589,0.4141499,10
5,0.6390228,-0.02505434,0.83224,0.416295,10
5,0.6526718,-0.01960099,0.8312885,0.4203499,10
5,0.667305,-0.01510108,0.8310344,0.4236844,10
5,0.680809,-0.009174526,0.8287324,0.4276215,10
5,0.6961746,-0.003862023,0.827432,0.4315239,10
5,0.7084198,0.001020014,0.8265654,0.4353796,10
5,0.7221451,0.005341589,0.82568,0.4391047,10
5,0.7356567,0.01017416,0.8247135,0.443214,10
5,0.7498703,0.01757467,0.823598,0.449645,10
5,0.7639236,0.02420467,0.8224306,0.4552518,10
5,0.7774353,0.03149742,0.820881,0.460916,10
5,0.7913971,0.03789365,0.8196346,0.4659832,10
5,0.8054123,0.04378319,0.8185467,0.4706484,10
5,0.8189163,0.05132926,0.8185644,0.4744713,10
5,0.8335571,0.05803192,0.8184866,0.4783633,10
5,0.847084,0.06409937,0.817728,0.480953,10
5,0.8612595,0.07006836,0.8172159,0.4841387,10
5,0.8750153,0.07597339,0.8168049,0.4876305,10
5,0.8891068,0.08032727,0.8171044,0.4870714,10
5,0.9043655,0.08513141,0.8171579,0.4876467,10
5,0.9162674,0.09151965,0.8170037,0.4902464,10
5,0.9303741,0.09791911,0.8166623,0.4928992,10
5,0.9444656,0.1029104,0.8176005,0.4940383,10
5,0.9577866,0.1082377,0.8181033,0.4956067,10
5,0.9721832,0.1137421,0.8183807,0.4973915,10
5,0.9859314,0.1175904,0.8169824,0.4972985,10
5,0.9998703,0.1220576,0.81622,0.497954,10
5,1.013535,0.1260536,0.8148283,0.4979562,10
5,1.027779,0.1306509,0.8138711,0.498551,10
5,1.041481,0.1355849,0.8130951,0.499428,10
5,1.055267,0.1389036,0.8111244,0.499695,10
5,1.069679,0.1428916,0.8094834,0.5003418,10
5,1.083237,0.1468002,0.8078862,0.5003666,10
5,1.096764,0.1508912,0.806425,0.5005369,10
5,1.112091,0.1557722,0.8031645,0.5023998,10
5,1.124863,0.1603445,0.8003217,0.5039054,10
5,1.138489,0.1648578,0.7977448,0.5052277,10
5,1.152275,0.1685359,0.7942259,0.5063796,10
5,1.166809,0.172342,0.7911998,0.507509,10
5,1.180382,0.1743117,0.7868081,0.5080895,10
