n,t,x,y,z,m
4,0,0.1061638,0.8246366,0.3005222,0
4,0.01410675,0.1057213,0.8273938,0.303077,0
4,0.02780151,0.1065597,0.8293334,0.3060836,0
4,0.0423584,0.10747,0.8314873,0.3090031,0
4,0.05705261,0.1105552,0.8341674,0.314463,0
4,0.06959534,0.113249,0.8369076,0.3192545,0
4,0.08335876,0.1155151,0.8394033,0.3232982,0
4,0.09726715,0.1204419,0.8447229,0.3313677,0
4,0.1108932,0.1243271,0.8489427,0.3377769,0
4,0.1246948,0.1291735,0.854425,0.3464997,0
4,0.1389008,0.1330312,0.8586861,0.353358,0
4,0.1528091,0.1362922,0.8621625,0.359036,0
4,0.166481,0.1413335,0.8673726,0.3668813,0
4,0.1805801,0.1454396,0.8715501,0.3732514,0
4,0.1942749,0.1506481,0.8740517,0.3808945,0
4,0.2081528,0.1550743,0.87664,0.3873324,0
4,0.2220612,0.1601741,0.8770767,0.3950343,0
4,0.2363129,0.1647426,0.8784704,0.4016771,0
4,0.2495346,0.1690284,0.880254,0.4077739,0
4,0.2650375,0.1753224,0.8774673,0.4170123,0
4,0.2780075,0.1810365,0.8765263,0.4248641,0
4,0.2915649,0.1847327,0.8751732,0.4318176,0
4,0.3057022,0.188693,0.8749908,0.4383726,0
4,0.3193359,0.1928088,0.8753402,0.4447294,0
4,0.3330307,0.1944354,0.8773834,0.4491486,0
4,0.3467712,0.1971607,0.8789634,0.454331,0
4,0.3607407,0.1962489,0.8816067,0.456351,0
4,0.3748779,0.1977543,0.8832371,0.4603885,0
4,0.3884583,0.1999934,0.8838994,0.4634122,0
4,0.4029694,0.202965,0.8844869,0.467472,0
4,0.4164352,0.2061508,0.8851907,0.471961,0
4,0.4301834,0.2101484,0.8852571,0.4784417,0
4,0.4447632,0.2139267,0.8856823,0.4845043,0
4,0.4584198,0.2171751,0.8849682,0.4916798,0
4,0.4743118,0.2203184,0.8848066,0.4981335,0
4,0.4860992,0.2225652,0.8834382,0.5045834,0
4,0.4997025,0.225016,0.8826774,0.5106761,0
4,0.5140076,0.227576,0.882298,0.516557,0
4,0.5275345,0.2294815,0.8802516,0.522579,0
4,0.5419846,0.231778,0.8786786,0.5285191,0
4,0.5555954,0.2352377,0.8737885,0.5361842,0
4,0.5690155,0.2388588,0.8698778,0.5434304,0
4,0.5828705,0.2422399,0.8669822,0.5502025,0
4,0.5967178,0.2472365,0.8622268,0.5578486,0
4,0.6110077,0.2517679,0.8586136,0.5648425,0
4,0.6246338,0.2557933,0.8541304,0.5724779,0
4,0.6388474,0.2593888,0.8508425,0.5794572,0
4,0.6531067,0.2603986,0.8463569,0.5849314,0
4,0.66642,0.2619192,0.8429016,0.5903929,0
4,0.682373,0.2637014,0.8400636,0.5958235,0
4,0.6943588,0.2632902,0.8378142,0.5977852,0
4,0.7079926,0.2634927,0.8358016,0.6004122,0
4,0.7219162,0.2622316,0.8338678,0.601123,0
4,0.7374344,0.2615384,0.8317438,0.6023179,0
4,0.7507477,0.2612516,0.8295584,0.6039115,0
4,0.7646179,0.2595093,0.8273446,0.6033552,0
4,0.7786636,0.258224,0.824716,0.6031606,0
4,0.7922745,0.2558946,0.8230017,0.6021754,0
4,0.8058167,0.2540882,0.8208103,0.6014521,0
4,0.8196335,0.2530417,0.8180083,0.6012145,0
4,0.833519,0.2525527,0.8149313,0.6013877,0
4,0.8470078,0.2524148,0.8117992,0.601932,0
4,0.8608856,0.2529057,0.8076687,0.6018932,0
4,0.874855,0.2532125,0.804073,0.6021003,0
