N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,1,0,L,B,R
2,0,0,1,R,C,L
3,1,0,0,L,A,L
4,0,1,0,L,B,R
5,0,0,1,R,C,R
6,1,0,0,L,A,R
7,0,1,0,L,B,L
8,0,0,1,R,C,R
9,1,0,0,L,A,R
10,0,1,0,L,B,R
11,0,0,1,R,C,L
12,1,0,0,L,A,R
13,0,1,0,L,B,L
14,0,0,1,R,C,R
15,1,0,0,L,A,L
16,0,1,0,L,B,L
17,0,0,1,R,C,R
18,1,0,0,L,A,L
19,0,1,0,L,B,R
20,0,0,1,R,C,L
21,1,0,0,L,A,R
22,0,1,0,L,B,L
23,0,0,1,R,C,R
24,1,0,0,L,A,R
25,0,1,0,L,B,L
26,0,0,1,R,C,L
27,1,0,0,L,A,L
28,0,1,0,L,B,L
29,0,0,1,R,C,R
30,1,0,0,L,A,R
31,0,1,0,L,B,R
32,0,0,1,R,C,L
33,1,0,0,L,A,L
34,0,1,0,L,B,L
35,0,0,1,R,C,L
36,1,0,0,L,A,L
37,0,1,0,L,B,R
38,0,0,1,R,C,R
39,1,0,0,L,A,R
