n,t,x,y,z,m
16,0,0.0005931258,0.3001726,0.4755318,3
16,0.01439667,0.001053929,0.3048779,0.4802862,3
16,0.02869415,0.0006485581,0.3145742,0.4903126,3
16,0.04208374,0.0006973147,0.3224936,0.4984062,3
16,0.05619812,9.816885E-05,0.3334203,0.5120453,3
16,0.07135773,-0.0001812577,0.3414543,0.521971,3
16,0.08363342,-0.0002384186,0.3478433,0.5297225,3
16,0.09793091,-0.00057441,0.3546701,0.5413542,3
16,0.1115112,-4.190207E-05,0.360946,0.5509267,3
16,0.1257858,-1.716614E-05,0.3624774,0.5637789,3
16,0.139183,0.0004227161,0.3645495,0.5740401,3
16,0.1528778,0.0008241534,0.3666718,0.5826558,3
16,0.1723251,-0.0001924634,0.3597714,0.5996491,3
16,0.180748,-0.0004552007,0.3564223,0.6130414,3
16,0.1946564,-0.001501203,0.3474109,0.6248307,3
16,0.2085114,-0.001979649,0.342179,0.6351717,3
16,0.2223282,-0.004898548,0.3400259,0.6416934,3
16,0.2363586,-0.006715655,0.3386045,0.6492238,3
16,0.2501831,-0.007989645,0.3376249,0.657402,3
16,0.2645645,-0.01146686,0.3408111,0.6602391,3
16,0.2793732,-0.01409733,0.3431857,0.6651461,3
16,0.2923203,-0.01487333,0.3429094,0.6716893,3
16,0.3060303,-0.01600963,0.3431393,0.6787443,3
16,0.3243256,-0.01730037,0.3436379,0.6861827,3
16,0.3335037,-0.01562285,0.343925,0.695706,3
16,0.3475952,-0.01504034,0.3436483,0.7044986,3
16,0.3613129,-0.01291513,0.3396037,0.7147907,3
16,0.3753586,-0.01172864,0.336624,0.7244672,3
16,0.3890076,-0.0104208,0.3297414,0.7316731,3
16,0.4029846,-0.009400368,0.3250309,0.7392362,3
16,0.4172363,-0.008560896,0.3214666,0.7469527,3
16,0.4312057,-0.007925212,0.3149236,0.7517169,3
16,0.4445572,-0.007209957,0.3103807,0.7574589,3
16,0.4583817,-0.004945219,0.3013495,0.7665502,3
16,0.4733734,-0.003162861,0.2946158,0.7750571,3
16,0.4878006,-0.00421375,0.2889406,0.7797861,3
