n,t,x,y,z,m
15,0,-0.00567776,0.2922209,0.4303131,10
15,0.01486206,-0.001600862,0.2948808,0.4407858,10
15,0.02822876,0.001711667,0.2971124,0.4490893,10
15,0.04162598,0.005088925,0.2993261,0.4584211,10
15,0.0559082,0.008048534,0.3011086,0.4659505,10
15,0.07012939,0.01069421,0.302697,0.4723161,10
15,0.08432007,0.01432985,0.3066285,0.4798969,10
15,0.09709167,0.01733506,0.3098543,0.4864176,10
15,0.1108551,0.02131087,0.3139239,0.493979,10
15,0.125351,0.0245384,0.3171309,0.5005285,10
15,0.1407928,0.0300979,0.3159474,0.5106018,10
15,0.1535797,0.03467435,0.3159068,0.5189645,10
15,0.168457,0.03896153,0.3161734,0.5264323,10
15,0.1805725,0.04576087,0.3122981,0.5369318,10
15,0.1941681,0.05184042,0.3099487,0.5460433,10
15,0.2086029,0.0588311,0.310596,0.5558318,10
15,0.2226715,0.06508142,0.311329,0.5647474,10
15,0.2356262,0.07093072,0.3120861,0.5731037,10
15,0.2499084,0.0803988,0.3140233,0.5845325,10
15,0.2634888,0.08816671,0.3158212,0.5946023,10
15,0.2773285,0.09502643,0.3182419,0.6040077,10
15,0.2913361,0.1012807,0.3204452,0.6128701,10
15,0.3051605,0.1032488,0.3225217,0.6183716,10
15,0.3191986,0.106697,0.3246017,0.624762,10
15,0.3330994,0.110792,0.326693,0.6316729,10
15,0.3498993,0.1084849,0.3309036,0.6353834,10
15,0.3609924,0.1099069,0.3335052,0.6404952,10
15,0.3745422,0.1134209,0.3320199,0.6439933,10
15,0.3886261,0.1171839,0.3319728,0.6484731,10
15,0.40242,0.1210411,0.3325466,0.6536002,10
15,0.4170837,0.125321,0.3287985,0.6604396,10
15,0.4304352,0.1295316,0.3270586,0.6672521,10
15,0.4445648,0.1336384,0.3230555,0.675338,10
15,0.4582062,0.1377584,0.3205836,0.6828797,10
15,0.4721375,0.1395547,0.3154701,0.6891604,10
15,0.48703,0.142225,0.3116841,0.6952463,10
15,0.5000153,0.1453137,0.3085368,0.701166,10
15,0.5149994,0.1436113,0.3065985,0.7018514,10
15,0.5279388,0.1440938,0.3039694,0.7035774,10
15,0.5414429,0.1432181,0.299899,0.7044653,10
15,0.5575256,0.1440884,0.2960587,0.7062609,10
15,0.5691223,0.1456494,0.2924936,0.7086763,10
15,0.5830688,0.1446423,0.2881071,0.7099053,10
