N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,0,1,R,B,R
2,0,1,0,R,A,R
3,1,0,0,L,C,L
4,0,0,1,R,B,L
5,0,1,0,R,A,R
6,0,0,1,R,C,R
7,1,0,0,L,A,L
8,0,0,1,R,B,R
9,1,0,0,L,A,R
10,0,1,0,L,B,R
11,0,0,1,R,C,L
12,1,0,0,L,A,L
13,0,0,1,R,B,R
14,0,1,0,R,A,R
15,0,0,1,R,C,R
16,1,0,0,L,A,L
17,0,1,0,L,B,R
18,0,0,1,R,C,R
19,0,1,0,R,A,R
20,1,0,0,L,C,R
21,0,0,1,R,B,R
22,0,1,0,R,A,L
23,1,0,0,L,C,R
24,0,0,1,R,B,L
25,0,1,0,R,A,L
26,0,0,1,R,C,R
27,1,0,0,L,A,L
28,0,0,1,R,B,L
29,0,1,0,R,A,R
30,0,0,1,R,C,R
31,1,0,0,L,A,L
32,0,1,0,L,B,L
33,0,0,1,R,C,L
34,1,0,0,L,A,L
35,0,1,0,L,B,L
36,0,0,1,R,C,L
37,1,0,0,L,A,L
38,0,1,0,L,B,L
39,0,0,1,R,C,R
