n,t,x,y,z,m
12,0,0.02465564,0.3682921,0.4235427,0
12,0.01525879,0.02851152,0.374384,0.4284935,0
12,0.02835083,0.02851152,0.374384,0.4284935,0
12,0.04226685,0.03644693,0.3866543,0.4397253,0
12,0.05609131,0.04021668,0.3925371,0.44537,0
12,0.06991577,0.04506338,0.3971478,0.45494,0
12,0.08612061,0.04887718,0.4013129,0.4623253,0
12,0.09753418,0.05215806,0.4051648,0.4684265,0
12,0.1120911,0.05241233,0.4118916,0.4681984,0
12,0.1252441,0.05374002,0.4174523,0.4693962,0
12,0.1390076,0.05547386,0.4195644,0.4727421,0
12,0.1529236,0.05763,0.4224074,0.4763058,0
12,0.166687,0.06000829,0.4256561,0.4799933,0
12,0.1810913,0.06288618,0.4275216,0.4835802,0
12,0.1945801,0.06559861,0.4304267,0.4872206,0
12,0.2081909,0.06810504,0.4301603,0.4937531,0
12,0.2219543,0.07078111,0.431216,0.4996923,0
12,0.236145,0.07366902,0.4325956,0.5052009,0
12,0.2503967,0.07641524,0.4346754,0.5103257,0
12,0.2637634,0.0791772,0.4369869,0.515215,0
12,0.2781067,0.08100289,0.4388215,0.5210751,0
12,0.2938232,0.08316982,0.4410535,0.5265906,0
12,0.3056335,0.08605701,0.441552,0.5334532,0
12,0.3198853,0.08876628,0.4428244,0.5396724,0
12,0.3334961,0.09128517,0.4445298,0.5454639,0
12,0.3478699,0.09233141,0.4461752,0.5511204,0
12,0.3607788,0.09383929,0.4477734,0.5565732,0
12,0.3749084,0.09687263,0.4492345,0.5617768,0
12,0.3890076,0.09950715,0.4504337,0.5667815,0
12,0.4024963,0.1017704,0.4516584,0.571944,0
12,0.4172668,0.1040297,0.4524865,0.5770296,0
12,0.4307861,0.1079547,0.451959,0.5862114,0
12,0.4448853,0.1113997,0.4512831,0.5944242,0
12,0.4584656,0.1145068,0.45075,0.6018174,0
12,0.472229,0.1169935,0.4477571,0.6096069,0
12,0.4865417,0.1194898,0.4451796,0.6166208,0
12,0.5023193,0.1194898,0.4451796,0.6166208,0
12,0.5142212,0.1226857,0.4383468,0.6260333,0
12,0.5278015,0.1244706,0.4356435,0.63089,0
12,0.5418091,0.1282346,0.4288912,0.6377121,0
12,0.5557556,0.1311455,0.4235495,0.6439116,0
12,0.5694885,0.1351233,0.4129876,0.6508753,0
12,0.5836487,0.1382489,0.4048651,0.6568787,0
12,0.5978699,0.1409333,0.3981734,0.6621938,0
12,0.6114807,0.143399,0.3882522,0.6639159,0
12,0.6248169,0.1457587,0.3803161,0.6659681,0
12,0.6389771,0.1462274,0.3727873,0.6654598,0
12,0.6531067,0.1473426,0.3663634,0.6657748,0
12,0.666626,0.148829,0.3590049,0.6658351,0
12,0.680603,0.1504552,0.3528394,0.6667002,0
12,0.6946716,0.1521452,0.3473883,0.6680738,0
12,0.7103577,0.1533915,0.3426495,0.6688349,0
