n,t,x,y,z,m
20,0,0.04303575,0.552006,0.2437292,5
20,0.01442719,0.04842049,0.55366,0.2509659,5
20,0.02895355,0.05279356,0.5551302,0.2568952,5
20,0.04239655,0.06183147,0.5597637,0.2678316,5
20,0.05567169,0.06840938,0.5630691,0.2761655,5
20,0.07038879,0.07880485,0.5699301,0.2888762,5
20,0.08945465,0.08728576,0.5751616,0.2987554,5
20,0.09772491,0.09853816,0.5847059,0.3107876,5
20,0.1111145,0.108421,0.5920132,0.3205676,5
20,0.1252594,0.1166887,0.5978895,0.3288862,5
20,0.1391373,0.1280535,0.602721,0.3401333,5
20,0.1531601,0.1374835,0.6072474,0.3496244,5
20,0.1669693,0.1426536,0.6119137,0.3600384,5
20,0.1824036,0.1482418,0.6162394,0.3692447,5
20,0.1943893,0.15402,0.620389,0.3778268,5
20,0.2088776,0.1573045,0.6266654,0.3862094,5
20,0.2223358,0.1613188,0.6319322,0.3943765,5
20,0.242218,0.1657185,0.6340891,0.4069314,5
20,0.2500076,0.1714132,0.6361017,0.4177396,5
20,0.2644119,0.1774459,0.635079,0.429468,5
20,0.2777863,0.183417,0.6351131,0.4398283,5
20,0.2917252,0.1890621,0.6359892,0.4494692,5
20,0.3059387,0.1927291,0.6338918,0.4576181,5
20,0.3194122,0.1966243,0.6335166,0.4660541,5
20,0.3337326,0.1994911,0.6298407,0.474356,5
20,0.3476105,0.2026821,0.6281366,0.4829406,5
20,0.3613052,0.2060703,0.6274881,0.4917132,5
20,0.375061,0.2070267,0.6202481,0.4962932,5
20,0.3961716,0.208444,0.6143907,0.5018285,5
20,0.4039307,0.2062019,0.6082228,0.5030258,5
20,0.4171066,0.2053866,0.6036105,0.5057099,5
20,0.4315186,0.2055892,0.6000954,0.5095011,5
20,0.4449158,0.2056793,0.5936826,0.5121441,5
20,0.4585571,0.2062143,0.5882379,0.5156285,5
20,0.4729538,0.205501,0.58038,0.5162561,5
20,0.4864197,0.205249,0.5733442,0.5175455,5
20,0.5002975,0.2043194,0.5664463,0.5175276,5
20,0.5141525,0.2039477,0.5606811,0.5184894,5
20,0.52771,0.2038145,0.5535995,0.5190114,5
20,0.5418396,0.2040255,0.5460406,0.5180247,5
