N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,L
2,0,0,1,R,C,L
3,0,1,0,R,A,R
4,0,0,1,R,C,L
5,1,0,0,L,A,L
6,0,0,1,R,B,L
7,1,0,0,L,A,R
8,0,0,1,R,B,R
9,0,1,0,R,A,R
10,0,0,1,R,C,R
11,0,1,0,R,A,L
12,0,0,1,R,C,L
13,0,1,0,R,A,L
14,0,0,1,R,C,R
15,0,1,0,R,A,L
16,0,0,1,R,C,R
17,1,0,0,L,A,L
18,0,1,0,L,B,R
19,1,0,0,L,C,L
20,0,0,1,R,B,L
21,0,1,0,R,A,R
22,0,0,1,R,C,R
23,0,1,0,R,A,L
24,0,0,1,R,C,L
25,0,1,0,R,A,L
26,1,0,0,L,C,R
27,0,1,0,L,B,L
28,0,0,1,R,C,R
29,0,1,0,R,A,R
30,0,0,1,R,C,R
31,0,1,0,R,A,L
32,1,0,0,L,C,R
33,0,0,1,R,B,R
34,0,1,0,R,A,L
35,0,0,1,R,C,L
36,0,1,0,R,A,R
37,1,0,0,L,C,R
38,0,0,1,R,B,L
39,0,1,0,R,A,R
