n,t,x,y,z,m
1,0,0.1639844,0.8168242,-0.1441625,0
1,0.01415253,0.1632207,0.819046,-0.1424252,0
1,0.02829361,0.1621795,0.8221772,-0.1397858,0
1,0.04318619,0.1613052,0.8248784,-0.1374069,0
1,0.0561142,0.1595792,0.8290541,-0.1347054,0
1,0.0699234,0.1581947,0.832654,-0.1322187,0
1,0.08338928,0.1564738,0.8382387,-0.1269479,0
1,0.09719086,0.1564738,0.8382387,-0.1269479,0
1,0.1117172,0.1559144,0.8406098,-0.1242274,0
1,0.1249084,0.1552351,0.8418093,-0.1206356,0
1,0.1395378,0.1540865,0.8449873,-0.1142568,0
1,0.1547241,0.1540865,0.8449873,-0.1142568,0
1,0.1682968,0.1533076,0.8461436,-0.1112128,0
1,0.181057,0.1526115,0.8475245,-0.1083214,0
1,0.1941071,0.1523563,0.8482299,-0.1039014,0
1,0.2082253,0.1520506,0.8492029,-0.09988816,0
1,0.221817,0.1518683,0.8497817,-0.09531248,0
1,0.2361832,0.1515698,0.8505185,-0.09123608,0
1,0.2507668,0.1502337,0.8518478,-0.08729824,0
1,0.2633781,0.1490568,0.8531766,-0.0836017,0
1,0.277504,0.1480015,0.8545055,-0.08006723,0
1,0.2914848,0.1477106,0.8539368,-0.07361215,0
1,0.3055,0.1472186,0.8539784,-0.06783028,0
1,0.318943,0.1476017,0.8518491,-0.06053999,0
1,0.3336296,0.1476243,0.8506602,-0.05405951,0
1,0.3470764,0.147443,0.8500353,-0.04813686,0
1,0.3609467,0.1480282,0.8487763,-0.04264009,0
1,0.3752403,0.14826,0.8480106,-0.03732842,0
1,0.3888626,0.1487758,0.8474284,-0.03272671,0
1,0.402935,0.1489617,0.8470527,-0.02805367,0
1,0.4167023,0.1489384,0.846805,-0.02330333,0
1,0.4302559,0.1489675,0.8467733,-0.01706219,0
1,0.4441719,0.1488779,0.8467218,-0.01103708,0
1,0.4592247,0.146952,0.8474545,-0.005785555,0
1,0.4725685,0.1445119,0.8481896,0.004582614,0
1,0.4857178,0.1445119,0.8481896,0.004582614,0
1,0.5000572,0.1434033,0.8504812,0.008604199,0
1,0.513649,0.1423092,0.8526099,0.01283208,0
1,0.5275879,0.1411276,0.8553337,0.01458967,0
1,0.5412407,0.1402457,0.8574071,0.01687345,0
1,0.5555725,0.1398528,0.857493,0.01868638,0
1,0.5695572,0.1395769,0.8578442,0.02103591,0
1,0.5829163,0.1393545,0.8583341,0.02379516,0
1,0.5968819,0.140632,0.855271,0.02785799,0
1,0.6113815,0.1413987,0.8538225,0.03219911,0
1,0.6245155,0.1428373,0.8507869,0.03915641,0
1,0.6396904,0.1438402,0.8487336,0.04553097,0
1,0.6529236,0.1445575,0.8472111,0.0512673,0
1,0.6679688,0.1435221,0.8454427,0.05528331,0
1,0.6800308,0.1429277,0.8439167,0.05928046,0
1,0.6940956,0.1434752,0.8415295,0.06464663,0
1,0.7084923,0.1438196,0.8394541,0.06965664,0
1,0.7217865,0.1434529,0.838973,0.07169682,0
1,0.735981,0.1431224,0.8382972,0.0741311,0
1,0.7496185,0.1428032,0.8375021,0.07687077,0
1,0.7634354,0.1421146,0.8377037,0.07716689,0
1,0.7779121,0.1414747,0.8377158,0.07802117,0
1,0.7917938,0.1419123,0.8376008,0.07830346,0
1,0.8051453,0.1420919,0.8374184,0.07887644,0
1,0.8191566,0.142123,0.837202,0.07973209,0
1,0.8329811,0.1421992,0.8365186,0.08102626,0
1,0.846962,0.1422111,0.8358797,0.08261016,0
1,0.8605881,0.1425512,0.8352237,0.08441705,0
1,0.8761177,0.1429029,0.8344839,0.08640146,0
1,0.8887596,0.1433678,0.8327842,0.08909497,0
1,0.9027901,0.1438659,0.831193,0.09194958,0
1,0.9164925,0.1443668,0.8297253,0.09484482,0
1,0.9302864,0.1447292,0.8282931,0.09691572,0
1,0.9441071,0.1451081,0.8269981,0.0990558,0
1,0.9577141,0.1455782,0.8252124,0.1015668,0
1,0.9719162,0.1460259,0.823599,0.1041606,0
1,0.9852448,0.1464511,0.8221104,0.106795,0
1,0.9997673,0.146782,0.8196087,0.1104129,0
1,1.013607,0.146782,0.8196087,0.1104129,0
1,1.027332,0.146827,0.8178454,0.1124968,0
1,1.041397,0.1469087,0.8161562,0.1146811,0
1,1.055565,0.1468053,0.8149195,0.1158793,0
1,1.069893,0.1467463,0.8136902,0.1171901,0
1,1.083836,0.1467169,0.8124412,0.1186012,0
1,1.096928,0.1461707,0.8118466,0.1198187,0
