n,t,x,y,z,m
16,0,0.3172182,0.82054,-0.1592664,7
16,0.01467133,0.3220688,0.8272749,-0.1521402,7
16,0.02955627,0.3260775,0.8327748,-0.1463543,7
16,0.04146576,0.3292877,0.837152,-0.1417733,7
16,0.0557251,0.3349,0.8440496,-0.1329492,7
16,0.06937408,0.3395017,0.8499262,-0.1258329,7
16,0.0834198,0.3459765,0.855498,-0.1160629,7
16,0.09727478,0.3509957,0.859869,-0.1086354,7
16,0.1110229,0.3555464,0.8643093,-0.1011265,7
16,0.1250229,0.3595993,0.8682379,-0.09475088,7
16,0.1387634,0.3635537,0.8720516,-0.08880734,7
16,0.1529999,0.3664882,0.8764609,-0.08343032,7
16,0.1667786,0.369987,0.880523,-0.07789776,7
16,0.1808014,0.3731056,0.8822753,-0.07242292,7
16,0.194313,0.3764748,0.884294,-0.0669871,7
16,0.2081909,0.3784465,0.8868674,-0.06359661,7
16,0.2221146,0.3808012,0.8896372,-0.05974627,7
16,0.2372894,0.3834072,0.8924471,-0.05560583,7
16,0.2500381,0.386897,0.8932797,-0.04745513,7
16,0.2635574,0.3902413,0.8947936,-0.04022956,7
16,0.2774963,0.3951403,0.8946326,-0.03281912,7
16,0.291626,0.3995746,0.8951751,-0.0260019,7
16,0.3051376,0.4037824,0.8961065,-0.01949471,7
16,0.3198547,0.4112192,0.8925043,-0.009189725,7
16,0.3331909,0.4176819,0.8904811,-9.560585E-05,7
16,0.347641,0.424754,0.8855454,0.009193808,7
16,0.3608017,0.4309626,0.882462,0.01745683,7
16,0.3748474,0.4352372,0.8763962,0.02576122,7
16,0.389061,0.4396266,0.8722471,0.03344622,7
16,0.4023056,0.4440544,0.8691867,0.04073811,7
16,0.4167328,0.4473013,0.862655,0.04770607,7
16,0.4305954,0.4513873,0.8574799,0.05462715,7
16,0.4453354,0.4564158,0.8490629,0.06269392,7
16,0.4582748,0.4616458,0.8425507,0.07026872,7
16,0.4720306,0.466656,0.8374083,0.07746336,7
16,0.4858856,0.4723737,0.827837,0.08688748,7
16,0.4998245,0.4778491,0.8204831,0.0956327,7
16,0.5136719,0.4791937,0.8150533,0.09809777,7
16,0.5274811,0.481523,0.8102573,0.1016763,7
