N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,1,0,0,L,A,R
2,0,0,1,R,B,L
3,1,0,0,L,A,L
4,0,0,1,R,B,R
5,1,0,0,L,A,R
6,0,1,0,L,B,L
7,0,0,1,R,C,R
8,1,0,0,L,A,R
9,0,0,1,R,B,R
10,0,1,0,R,A,R
11,0,0,1,R,C,R
12,0,1,0,R,A,R
13,1,0,0,L,C,R
14,0,0,1,R,B,R
15,1,0,0,L,A,R
16,0,0,1,R,B,L
17,0,1,0,R,A,L
18,1,0,0,L,C,R
19,0,0,1,R,B,R
20,1,0,0,L,A,L
21,0,1,0,L,B,L
22,0,0,1,R,C,L
23,1,0,0,L,A,L
24,0,1,0,L,B,L
25,0,0,1,R,C,L
26,1,0,0,L,A,R
27,0,1,0,L,B,R
28,0,0,1,R,C,R
29,0,1,0,R,A,R
30,1,0,0,L,C,L
31,0,0,1,R,B,L
32,0,1,0,R,A,L
33,1,0,0,L,C,R
34,0,0,1,R,B,L
35,0,1,0,R,A,L
36,0,0,1,R,C,L
37,0,1,0,R,A,L
38,0,0,1,R,C,L
39,0,1,0,R,A,R
