n,t,x,y,z,m
11,0,0.02503532,0.3958444,0.2804264,0
11,0.01390076,0.02488005,0.3950357,0.2837567,0
11,0.02778625,0.02545822,0.3927003,0.2869533,0
11,0.04182434,0.02387726,0.3929524,0.2903897,0
11,0.05778503,0.02255398,0.3930797,0.2935895,0
11,0.06956482,0.01752317,0.3975202,0.2957309,0
11,0.08276367,0.01434469,0.4002213,0.2967365,0
11,0.09727478,0.007920742,0.4045853,0.301062,0
11,0.1106567,0.003379226,0.4077433,0.3041589,0
11,0.1241455,5.453825E-05,0.4101298,0.3064293,0
11,0.1384277,-0.007238865,0.415808,0.3133211,0
11,0.1523743,-0.01314008,0.4203601,0.318428,0
11,0.1661377,-0.02006823,0.4245068,0.3269515,0
11,0.1800385,-0.02591264,0.4280696,0.3334897,0
11,0.1943359,-0.0309841,0.4320199,0.3385704,0
11,0.2075958,-0.03593969,0.4355807,0.3436118,0
11,0.2213745,-0.04094052,0.4389772,0.3487494,0
11,0.2357635,-0.04431677,0.4393511,0.3572053,0
11,0.2493744,-0.04833114,0.4406366,0.364897,0
11,0.2658081,-0.05343497,0.441674,0.3751518,0
11,0.2771149,-0.05824608,0.4431132,0.3837163,0
11,0.2910309,-0.06283468,0.444731,0.3912106,0
11,0.3049927,-0.06673825,0.4437156,0.3979912,0
11,0.3188019,-0.07072455,0.4436351,0.4043193,0
11,0.3331146,-0.07416618,0.4419503,0.409968,0
11,0.3462677,-0.07690299,0.4406911,0.414533,0
11,0.3610535,-0.07933962,0.4398752,0.4187047,0
11,0.3746643,-0.08183259,0.4383906,0.4239136,0
11,0.3881226,-0.08471906,0.4377918,0.4290968,0
11,0.402298,-0.08761919,0.4410414,0.4304107,0
11,0.4160461,-0.09052753,0.4433263,0.4331691,0
11,0.4296417,-0.09323663,0.4454878,0.4338494,0
11,0.4437866,-0.09617698,0.4476393,0.4361099,0
11,0.4580994,-0.09937197,0.4496839,0.4392131,0
11,0.4747467,-0.1026646,0.4477067,0.4454298,0
11,0.4853363,-0.1063014,0.446933,0.4513897,0
11,0.4997559,-0.1102874,0.4445274,0.4572287,0
11,0.5134277,-0.1142951,0.4432772,0.4628082,0
11,0.5272217,-0.1182265,0.4426232,0.4681846,0
11,0.5413666,-0.1196772,0.43822,0.4750643,0
11,0.5553284,-0.1220855,0.4354448,0.4811171,0
11,0.5689392,-0.1228124,0.4293602,0.4890914,0
11,0.5827179,-0.1244457,0.4250254,0.4962625,0
11,0.5970154,-0.1264831,0.42235,0.5010924,0
11,0.6105804,-0.1285954,0.4198884,0.5060689,0
11,0.6244354,-0.1308101,0.4176,0.5111849,0
11,0.6385803,-0.1330436,0.415503,0.5117974,0
11,0.6522217,-0.1349398,0.4133459,0.5138285,0
11,0.6662445,-0.1355719,0.4102184,0.5161673,0
11,0.682373,-0.1366082,0.4073345,0.5190809,0
11,0.6942291,-0.1372263,0.4029901,0.522351,0
