N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,1,0,0,L,A,L
2,0,1,0,L,B,L
3,0,0,1,R,C,R
4,1,0,0,L,A,R
5,0,1,0,L,B,L
6,1,0,0,L,C,L
7,0,0,1,R,B,L
8,0,1,0,R,A,R
9,1,0,0,L,C,L
10,0,0,1,R,B,L
11,0,1,0,R,A,R
12,1,0,0,L,C,R
13,0,1,0,L,B,L
14,0,0,1,R,C,R
15,1,0,0,L,A,L
16,0,1,0,L,B,L
17,0,0,1,R,C,R
18,0,1,0,R,A,R
19,1,0,0,L,C,L
20,0,1,0,L,B,R
21,1,0,0,L,C,L
22,0,0,1,R,B,R
23,0,1,0,R,A,L
24,1,0,0,L,C,L
25,0,0,1,R,B,R
26,0,1,0,R,A,R
27,0,0,1,R,C,R
28,1,0,0,L,A,L
29,0,0,1,R,B,L
30,1,0,0,L,A,L
31,0,1,0,L,B,L
32,1,0,0,L,C,R
33,0,0,1,R,B,L
34,0,1,0,R,A,R
35,1,0,0,L,C,L
36,0,0,1,R,B,R
37,0,1,0,R,A,R
38,1,0,0,L,C,R
39,0,0,1,R,B,R
