n,t,x,y,z,m
2,0,-0.04868245,0.8501835,0.412848,7
2,0.01405334,-0.05007339,0.8567034,0.4199331,7
2,0.02767944,-0.05119026,0.8623549,0.4259738,7
2,0.04176331,-0.05206817,0.8670442,0.4310026,7
2,0.0555191,-0.05641866,0.8768469,0.4383383,7
2,0.06957245,-0.05955213,0.8843676,0.4444143,7
2,0.08292389,-0.06315047,0.8954184,0.4515619,7
2,0.09722137,-0.06585735,0.9036946,0.4574833,7
2,0.1109619,-0.07014853,0.9191245,0.4687302,7
2,0.1244812,-0.07014853,0.9191245,0.4687302,7
2,0.1387405,-0.07185644,0.9254591,0.4737234,7
2,0.1525421,-0.07455391,0.9277396,0.4790258,7
2,0.1664352,-0.07675683,0.9316666,0.4840876,7
2,0.1808777,-0.07757133,0.9306968,0.4911885,7
2,0.1951599,-0.07852513,0.9321585,0.4972416,7
2,0.2087021,-0.07966244,0.9350597,0.5026832,7
2,0.2217941,-0.08356327,0.9354834,0.5145961,7
2,0.2362061,-0.08356327,0.9354834,0.5145961,7
2,0.2496338,-0.08586645,0.9305406,0.5250046,7
2,0.2632751,-0.08802485,0.9287634,0.5334049,7
2,0.2776871,-0.09363693,0.9234823,0.5544313,7
2,0.2915115,-0.09595907,0.9220268,0.5627717,7
2,0.3055954,-0.09595907,0.9220268,0.5627717,7
2,0.3192825,-0.09926605,0.9206514,0.5686848,7
2,0.3336792,-0.1021581,0.9193352,0.5747063,7
2,0.3468552,-0.1082096,0.9174107,0.5804401,7
2,0.3607483,-0.1130314,0.9156262,0.5866428,7
2,0.3750992,-0.1171131,0.9140396,0.5929971,7
2,0.3884811,-0.1248519,0.9101241,0.5954844,7
2,0.4039917,-0.13089,0.9070472,0.5995045,7
2,0.4164047,-0.1342274,0.9038321,0.6023023,7
2,0.4302979,-0.1374699,0.9012117,0.6060609,7
2,0.4442368,-0.1415002,0.898765,0.6081165,7
2,0.4581604,-0.1452665,0.8965989,0.6112838,7
2,0.4725876,-0.1489709,0.8945378,0.6150708,7
2,0.4856186,-0.1549031,0.8873688,0.6231471,7
2,0.4999847,-0.1549031,0.8873688,0.6231471,7
2,0.5136337,-0.1568529,0.8823315,0.6286367,7
2,0.5272903,-0.1593121,0.8783488,0.6336575,7
2,0.5420151,-0.1619931,0.8747411,0.6385767,7
2,0.5552826,-0.1644455,0.8717288,0.6433514,7
2,0.5692749,-0.1670792,0.8686603,0.6479937,7
2,0.5828171,-0.1695223,0.8642093,0.6525207,7
2,0.5968552,-0.1747289,0.856937,0.6579683,7
2,0.6121979,-0.1747289,0.856937,0.6579683,7
2,0.6246185,-0.180092,0.8511245,0.6621742,7
2,0.6392288,-0.180092,0.8511245,0.6621742,7
2,0.6525574,-0.1814855,0.8506979,0.6621931,7
2,0.6665573,-0.1831465,0.8497202,0.6628651,7
2,0.6805344,-0.184186,0.8500978,0.6617282,7
2,0.6942902,-0.1864812,0.8490018,0.6614042,7
2,0.7088089,-0.1864812,0.8490018,0.6614042,7
2,0.7216949,-0.1871444,0.8478009,0.661733,7
2,0.7364044,-0.188042,0.846534,0.662375,7
2,0.7499542,-0.1891035,0.8435354,0.664221,7
